Column Name,Identified Column,Year
District_x,False,2017-2018
TEA District Type,False,2017-2018
District Type,False,2017-2018
NCES District Type,False,2017-2018
Location of District,False,2017-2018
Charter School (Y/N),False,2017-2018
District_y,False,2017-2018
COUNTY,False,2017-2018
County,False,2017-2018
REGION,False,2017-2018
DFLCHART,False,2017-2018
DFLALTED,False,2017-2018
DAD_POST,False,2017-2018
D_RATING,False,2017-2018
OUTCOME,False,2017-2018
ASVAB_STATUS,False,2017-2018
DPETGEEC,False,2017-2018
DPETGPKC,False,2017-2018
DPETGKNC,False,2017-2018
DPETG01C,False,2017-2018
DPETG02C,False,2017-2018
DPETG03C,False,2017-2018
DPETG04C,False,2017-2018
DPETG05C,False,2017-2018
DPETG06C,False,2017-2018
DPETG07C,False,2017-2018
DPETG08C,False,2017-2018
DPETG09C,False,2017-2018
DPETG10C,False,2017-2018
DPETG11C,False,2017-2018
DPETG12C,False,2017-2018
All Students Count in district,True,2017-2018
DPETSPEC,False,2017-2018
DPETBILC,False,2017-2018
DPETVOCC,False,2017-2018
DPETGIFC,False,2017-2018
DPETLEPC,False,2017-2018
DPETECOC,False,2017-2018
DPETNEDC,False,2017-2018
DPETRSKC,False,2017-2018
DPETINDC,False,2017-2018
DPETASIC,False,2017-2018
DPETPCIC,False,2017-2018
DPETTWOC,False,2017-2018
DPETBLAC,False,2017-2018
DPETHISC,False,2017-2018
DPETWHIC,False,2017-2018
DPETDISD,False,2017-2018
DPETDISC,False,2017-2018
DPETDISP,False,2017-2018
DPETSIMC,False,2017-2018
DPETSINC,False,2017-2018
DPETSPHC,False,2017-2018
DPETSBHC,False,2017-2018
DPETSAUC,False,2017-2018
DPETSNOC,False,2017-2018
DPETSINP,False,2017-2018
DPETSPHP,False,2017-2018
DPETSBHP,False,2017-2018
DPETSAUP,False,2017-2018
DPETSNOP,False,2017-2018
DPERRAKR,False,2017-2018
DPERRA1R,False,2017-2018
DPERRA2R,False,2017-2018
DPERRA3R,False,2017-2018
DPERRA4R,False,2017-2018
DPERRA5R,False,2017-2018
DPERRA6R,False,2017-2018
DPERRA7R,False,2017-2018
DPERRA8R,False,2017-2018
DPERRA9R,False,2017-2018
DPERSAKR,False,2017-2018
DPERSA1R,False,2017-2018
DPERSA2R,False,2017-2018
DPERSA3R,False,2017-2018
DPERSA4R,False,2017-2018
DPERSA5R,False,2017-2018
DPERSA6R,False,2017-2018
DPERSA7R,False,2017-2018
DPERSA8R,False,2017-2018
DPERSA9R,False,2017-2018
DAUND17C,False,2017-2018
DAUND17D,False,2017-2018
DAUND17R,False,2017-2018
DPEMALLC,False,2017-2018
DPEMALLT,False,2017-2018
DPEMALLP,False,2017-2018
White Student Percent,True,2017-2018
African American Student Percent,True,2017-2018
Hispanic Student Percent,True,2017-2018
American Indian Student Percent,True,2017-2018
Asian American Student Percent,True,2017-2018
Pacific Islander Student Percent,True,2017-2018
Two or More Races Student Percent,True,2017-2018
Economically Disadvantaged Student Percent,True,2017-2018
DPETNEDP,False,2017-2018
DPETRSKP,False,2017-2018
DPETLEPP,False,2017-2018
Special Education Student Percent,True,2017-2018
DPETVOCP,False,2017-2018
Bilingual & ESL Student Percent,True,2017-2018
Gifted & Talented Student Percent,True,2017-2018
DPETGEEP,False,2017-2018
DPETGPKP,False,2017-2018
DPETGKNP,False,2017-2018
DPETG01P,False,2017-2018
DPETG02P,False,2017-2018
DPETG03P,False,2017-2018
DPETG04P,False,2017-2018
DPETG05P,False,2017-2018
DPETG06P,False,2017-2018
DPETG07P,False,2017-2018
DPETG08P,False,2017-2018
DPETG09P,False,2017-2018
DPETG10P,False,2017-2018
DPETG11P,False,2017-2018
DPETG12P,False,2017-2018
DPSTTOFC,False,2017-2018
DPSUTOFC,False,2017-2018
DPSSTOFC,False,2017-2018
DPSCTOFC,False,2017-2018
DPSETOFC,False,2017-2018
DPSTTOST,False,2017-2018
DPSUTOST,False,2017-2018
DPSSTOST,False,2017-2018
DPSCTOST,False,2017-2018
DPST00FC,False,2017-2018
DPST01FC,False,2017-2018
DPST06FC,False,2017-2018
DPST11FC,False,2017-2018
DPST20FC,False,2017-2018
DPST00ST,False,2017-2018
DPST01ST,False,2017-2018
DPST06ST,False,2017-2018
DPST11ST,False,2017-2018
DPST20ST,False,2017-2018
DPSRTOPC,False,2017-2018
DPSRTOFC,False,2017-2018
DPSBTOPC,False,2017-2018
