NAME_x,LABEL_x,NAME_y,TYPE,LENGTH,LABEL_y,Source_URL,Year,NAME_2
DISTNAME,District Name,DISTNAME,Character,34,District Name,https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/xplore/ddrop_att.html,2021,DISTNAME
DISTRICT,District Number,DISTRICT,Character,6,District Number,https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/xplore/ddrop_att.html,2021,DISTRICT
DDA03AMA1S19R,Approaches Grade Level Grade 3 All Students STAAR Mathematics Rate,DDA03AMA1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 3, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA03AMA1S19R
DDA03ARE1S19R,Approaches Grade Level Grade 3 All Students STAAR Reading/ELA Rate,DDA03ARE1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 3, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA03ARE1S19R
DDA04AMA1S19R,Approaches Grade Level Grade 4 All Students STAAR Mathematics Rate,DDA04AMA1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 4, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA04AMA1S19R
DDA04ARE1S19R,Approaches Grade Level Grade 4 All Students STAAR Reading/ELA Rate,DDA04ARE1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 4, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA04ARE1S19R
DDA04AWR1S19R,Approaches Grade Level Grade 4 All Students STAAR Writing Rate,DDA04AWR1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 4, All Students, STAAR Writing Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA04AWR1S19R
DDA05AMA1S19R,Approaches Grade Level Grade 5 All Students STAAR Mathematics Rate,DDA05AMA1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 5, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA05AMA1S19R
DDA05ARE1S19R,Approaches Grade Level Grade 5 All Students STAAR Reading/ELA Rate,DDA05ARE1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 5, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA05ARE1S19R
DDA05ASC1S19R,Approaches Grade Level Grade 5 All Students STAAR Science Rate,DDA05ASC1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 5, All Students, STAAR Science Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1a.html,2021,DDA05ASC1S19R
DDA06AMA1S19R,Approaches Grade Level Grade 6 All Students STAAR Mathematics Rate,DDA06AMA1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 6, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1b.html,2021,DDA06AMA1S19R
DDA06ARE1S19R,Approaches Grade Level Grade 6 All Students STAAR Reading/ELA Rate,DDA06ARE1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 6, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1b.html,2021,DDA06ARE1S19R
DDA07AMA1S19R,Approaches Grade Level Grade 7 All Students STAAR Mathematics Rate,DDA07AMA1S21R,Numeric,8,"District 2021 Domain 1A: Approaches Grade Level STD, Grade 7, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2021/download/diststaar1b.html,2021,DDA07AMA1S19R
