DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,DAD_POST,D_RATING,OUTCOME,ASVAB_STATUS
57836,ST ANTHONY SCHOOL,57,DALLAS,10,Y,N, ,B,Meets Requirements,Meets Requirements
57837,KIPP DALLAS-FORT WORTH,57,DALLAS,10,Y,N,0,C,Meets Requirements,Meets Requirements
57839,LA ACADEMIA DE ESTRELLAS,57,DALLAS,10,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
57840,RICHLAND COLLEGIATE HIGH SCHOOL,57,DALLAS,10,Y,N, ,Met Standard,Meets Requirements,Alternate Test Given
57841,CITYSCAPE SCHOOLS,57,DALLAS,10,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
57844,MANARA ACADEMY,57,DALLAS,10,Y,N,0,C,Meets Requirements,Not Reported
57845,UME PREPARATORY ACADEMY,57,DALLAS,10,Y,N,0,A,Meets Requirements,Not Reported
57846,LEGACY PREPARATORY,57,DALLAS,10,Y,N,0,F,Meets Requirements,Not Reported
57847,VILLAGE TECH SCHOOLS,57,DALLAS,10,Y,N, ,Met Standard,Meets Requirements,Not Reported
57848,INTERNATIONAL LEADERSHIP OF TEXAS,57,DALLAS,10,Y,N, ,Not Rated: Harvey Provision,Needs Assistance,Not Reported
57849,TRINITY ENVIRONMENTAL ACADEMY,57,DALLAS,10,Y,N, ,F,Meets Requirements,Meets Requirements
57850,PIONEER TECHNOLOGY & ARTS ACADEMY,57,DALLAS,10,Y,N, ,A,Meets Requirements,Meets Requirements
57903,CARROLLTON-FARMERS BRANCH ISD,57,DALLAS,10,N,N,0,B,Needs Assistance,Meets Requirements
57904,CEDAR HILL ISD,57,DALLAS,10,N,N,0,C,Needs Intervention,Not Reported
57905,DALLAS ISD,57,DALLAS,10,N,N,0,B,Needs Intervention,Meets Requirements
57906,DESOTO ISD,57,DALLAS,10,N,N,0,D,Needs Intervention,Meets Requirements
57907,DUNCANVILLE ISD,57,DALLAS,10,N,N,0,C,Needs Assistance,Meets Requirements
57909,GARLAND ISD,57,DALLAS,10,N,N,0,B,Needs Assistance,Meets Requirements
57910,GRAND PRAIRIE ISD,57,DALLAS,10,N,N,0,B,Needs Assistance,Meets Requirements
57911,HIGHLAND PARK ISD,57,DALLAS,10,N,N,0,A,Meets Requirements,Meets Requirements
57912,IRVING ISD,57,DALLAS,10,N,N,0,B,Needs Intervention,Meets Requirements
57913,LANCASTER ISD,57,DALLAS,10,N,N,0,C,Needs Assistance,Not Reported
57914,MESQUITE ISD,57,DALLAS,10,N,N,0,C,Needs Intervention,Meets Requirements
57916,RICHARDSON ISD,57,DALLAS,10,N,N,0,B,Meets Requirements,Meets Requirements
57919,SUNNYVALE ISD,57,DALLAS,10,N,N,0,A,Meets Requirements,Not Reported
57922,COPPELL ISD,57,DALLAS,10,N,N,0,A,Meets Requirements,Not Reported
58902,DAWSON ISD,58,DAWSON,17,N,N, ,Met Standard,Meets Requirements,Not Reported
58905,KLONDIKE ISD,58,DAWSON,17,N,N, ,Met Standard,Meets Requirements,Not Given
58906,LAMESA ISD,58,DAWSON,17,N,N,0,C,Needs Assistance,Meets Requirements
58909,SANDS CISD,58,DAWSON,17,N,N, ,Met Standard,Meets Requirements,Meets Requirements
59901,HEREFORD ISD,59,DEAF SMITH,16,N,N,0,C,Meets Requirements,Meets Requirements
59902,WALCOTT ISD,59,DEAF SMITH,16,N,N, ,Met Standard,Meets Requirements,Meets Requirements
60902,COOPER ISD,60,DELTA,8,N,N,0,B,Meets Requirements,Meets Requirements
60914,FANNINDEL ISD,60,DELTA,8,N,N,0,B,Meets Requirements,Not Reported
61802,NORTH TEXAS COLLEGIATE ACADEMY,61,DENTON,11,Y,N,0,C,Meets Requirements,Not Given
61804,LEADERSHIP PREP SCHOOL,61,DENTON,10,Y,N, ,B,Meets Requirements,Meets Requirements
61805,TRIVIUM ACADEMY,61,DENTON,11,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
61901,DENTON ISD,61,DENTON,11,N,N,0,B,Meets Requirements,Meets Requirements
61902,LEWISVILLE ISD,61,DENTON,11,N,N,0,B,Meets Requirements,Meets Requirements
61903,PILOT POINT ISD,61,DENTON,11,N,N,0,C,Meets Requirements,Meets Requirements
61905,KRUM ISD,61,DENTON,11,N,N,0,C,Meets Requirements,Meets Requirements
61906,PONDER ISD,61,DENTON,11,N,N,0,B,Meets Requirements,Alternate Test Given
61907,AUBREY ISD,61,DENTON,11,N,N,0,B,Meets Requirements,Meets Requirements
61908,SANGER ISD,61,DENTON,11,N,N,0,C,Meets Requirements,Meets Requirements
61910,ARGYLE ISD,61,DENTON,11,N,N,0,A,Meets Requirements,Meets Requirements
61911,NORTHWEST ISD,61,DENTON,11,N,N,0,A,Meets Requirements,Meets Requirements
61912,LAKE DALLAS ISD,61,DENTON,11,N,N,0,B,Meets Requirements,Meets Requirements
61914,LITTLE ELM ISD,61,DENTON,11,N,N,0,C,Meets Requirements,Meets Requirements
62901,CUERO ISD,62,DEWITT,3,N,N,0,C,Needs Assistance,Not Reported
62902,NORDHEIM ISD,62,DEWITT,3,N,N, ,Met Standard,Meets Requirements,Meets Requirements
62903,YOAKUM ISD,62,DEWITT,3,N,N,0,C,Needs Substantial Intervention,Not Reported
62904,YORKTOWN ISD,62,DEWITT,3,N,N,0,C,Meets Requirements,Meets Requirements
62905,WESTHOFF ISD,62,DEWITT,3,N,N, ,Met Standard,Meets Requirements,Meets Requirements
62906,MEYERSVILLE ISD,62,DEWITT,3,N,N, ,Met Standard,Meets Requirements,Meets Requirements
63903,SPUR ISD,63,DICKENS,17,N,N, ,Met Standard,Meets Requirements,Meets Requirements
63906,PATTON SPRINGS ISD,63,DICKENS,17,N,N, ,Met Standard,Meets Requirements,Not Given
64903,CARRIZO SPRINGS CISD,64,DIMMIT,20,N,N,0,B,Needs Assistance,Meets Requirements
65901,CLARENDON ISD,65,DONLEY,16,N,N,0,B,Meets Requirements,Not Reported
65902,HEDLEY ISD,65,DONLEY,16,N,N, ,Met Standard,Meets Requirements,Meets Requirements
66005,RAMIREZ CSD,66,DUVAL,2,N,N, ,Met Standard,Meets Requirements,Meets Requirements
66901,BENAVIDES ISD,66,DUVAL,2,N,N,0,D,Meets Requirements,Meets Requirements
66902,SAN DIEGO ISD,66,DUVAL,2,N,N,0,B,Meets Requirements,Not Reported
66903,FREER ISD,66,DUVAL,2,N,N,0,C,Meets Requirements,Not Reported
67902,CISCO ISD,67,EASTLAND,14,N,N,0,B,Meets Requirements,Meets Requirements
67903,EASTLAND ISD,67,EASTLAND,14,N,N,0,C,Meets Requirements,Meets Requirements
67904,GORMAN ISD,67,EASTLAND,14,N,N,0,B,Meets Requirements,Not Reported
67907,RANGER ISD,67,EASTLAND,14,N,N,0,D,Meets Requirements,Meets Requirements
67908,RISING STAR ISD,67,EASTLAND,14,N,N,1,A,Meets Requirements,Meets Requirements
68802,COMPASS ACADEMY CHARTER SCHOOL,68,ECTOR,18,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
68803,UTPB STEM ACADEMY,68,ECTOR,18,Y,N, ,Met Standard,Meets Requirements,Alternate Test Given
68901,ECTOR COUNTY ISD,68,ECTOR,18,N,N,0,D,Needs Substantial Intervention,Meets Requirements
69901,ROCKSPRINGS ISD,69,EDWARDS,15,N,N, ,Met Standard,Meets Requirements,Not Reported
69902,NUECES CANYON CISD,69,EDWARDS,15,N,N,0,B,Meets Requirements,Meets Requirements
70801,WAXAHACHIE FAITH FAMILY ACADEMY,70,ELLIS,10,Y,Y, ,B,Needs Substantial Intervention,Not Reported
70901,AVALON ISD,70,ELLIS,10,N,N, ,Met Standard,Meets Requirements,Not Reported
70903,ENNIS ISD,70,ELLIS,10,N,N,0,C,Needs Assistance,Meets Requirements
70905,FERRIS ISD,70,ELLIS,10,N,N,0,D,Needs Assistance,Meets Requirements
70907,ITALY ISD,70,ELLIS,10,N,N,0,B,Meets Requirements,Meets Requirements
70908,MIDLOTHIAN ISD,70,ELLIS,10,N,N,0,B,Meets Requirements,Meets Requirements
70909,MILFORD ISD,70,ELLIS,10,N,N, ,Met Standard,Meets Requirements,Meets Requirements
70910,PALMER ISD,70,ELLIS,10,N,N,0,B,Meets Requirements,Meets Requirements
70911,RED OAK ISD,70,ELLIS,10,N,N,0,B,Meets Requirements,Meets Requirements
70912,WAXAHACHIE ISD,70,ELLIS,10,N,N,0,B,Meets Requirements,Meets Requirements
70915,MAYPEARL ISD,70,ELLIS,10,N,N,0,B,Needs Assistance,Meets Requirements
71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,71,EL PASO,19,Y,N,0,A,Meets Requirements,Not Reported
71803,PASO DEL NORTE ACADEMY CHARTER DIS,71,EL PASO,19,Y,Y, ,A,Meets Requirements,Not Reported
71804,EL PASO ACADEMY,71,EL PASO,19,Y,Y, ,D,Meets Requirements,Meets Requirements
71806,HARMONY SCIENCE ACAD (EL PASO),71,EL PASO,19,Y,N,1,A,Meets Requirements,Not Reported
71807,LA FE PREPARATORY SCHOOL,71,EL PASO,19,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
71809,VISTA DEL FUTURO CHARTER SCHOOL,71,EL PASO,19,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
71810,EL PASO LEADERSHIP ACADEMY,71,EL PASO,19,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
71901,CLINT ISD,71,EL PASO,19,N,N,0,B,Needs Assistance,Meets Requirements
71902,EL PASO ISD,71,EL PASO,19,N,N,0,B,Meets Requirements,Meets Requirements
71903,FABENS ISD,71,EL PASO,19,N,N,0,B,Meets Requirements,Not Reported
71904,SAN ELIZARIO ISD,71,EL PASO,19,N,N,0,B,Meets Requirements,Meets Requirements
71905,YSLETA ISD,71,EL PASO,19,N,N,0,B,Meets Requirements,Meets Requirements
71906,ANTHONY ISD,71,EL PASO,19,N,N,0,B,Meets Requirements,Meets Requirements
71907,CANUTILLO ISD,71,EL PASO,19,N,N,0,A,Needs Assistance,Meets Requirements
71908,TORNILLO ISD,71,EL PASO,19,N,N,0,B,Meets Requirements,Not Reported
71909,SOCORRO ISD,71,EL PASO,19,N,N,1,B,Meets Requirements,Not Reported
72801,PREMIER HIGH SCHOOLS,72,ERATH,11,Y,Y, ,B,Meets Requirements,Not Reported
72802,ERATH EXCELS ACADEMY INC,72,ERATH,11,Y,Y, ,B,Meets Requirements,Meets Requirements
72901,THREE WAY ISD,72,ERATH,11,N,N, ,Met Standard,Meets Requirements,Meets Requirements
72902,DUBLIN ISD,72,ERATH,11,N,N,1,A,Meets Requirements,Meets Requirements
72903,STEPHENVILLE ISD,72,ERATH,11,N,N,0,B,Meets Requirements,Meets Requirements
72904,BLUFF DALE ISD,72,ERATH,11,N,N, ,Met Standard,Meets Requirements,Meets Requirements
72908,HUCKABAY ISD,72,ERATH,11,N,N, ,Met Standard,Meets Requirements,Not Reported
72909,LINGLEVILLE ISD,72,ERATH,11,N,N, ,Met Standard,Meets Requirements,Meets Requirements
72910,MORGAN MILL ISD,72,ERATH,11,N,N, ,Improvement Required,Meets Requirements,Meets Requirements
73901,CHILTON ISD,73,FALLS,12,N,N, ,Met Standard,Meets Requirements,Meets Requirements
73903,MARLIN ISD,73,FALLS,12,N,N,0,F,Needs Intervention,Not Reported
73904,WESTPHALIA ISD,73,FALLS,12,N,N, ,Met Standard,Meets Requirements,Not Given
73905,ROSEBUD-LOTT ISD,73,FALLS,12,N,N,0,C,Meets Requirements,Meets Requirements
74903,BONHAM ISD,74,FANNIN,10,N,N,0,C,Needs Intervention,Meets Requirements
74904,DODD CITY ISD,74,FANNIN,10,N,N, ,Met Standard,Meets Requirements,Meets Requirements
74905,ECTOR ISD,74,FANNIN,10,N,N,0,B,Meets Requirements,Meets Requirements
74907,HONEY GROVE ISD,74,FANNIN,10,N,N,0,B,Meets Requirements,Meets Requirements
74909,LEONARD ISD,74,FANNIN,10,N,N,0,D,Meets Requirements,Not Reported
74911,SAVOY ISD,74,FANNIN,10,N,N,0,C,Meets Requirements,Meets Requirements
74912,TRENTON ISD,74,FANNIN,10,N,N,0,B,Meets Requirements,Meets Requirements
74917,SAM RAYBURN ISD,74,FANNIN,10,N,N,0,C,Meets Requirements,Not Reported
75901,FLATONIA ISD,75,FAYETTE,13,N,N,0,B,Meets Requirements,Meets Requirements
75902,LA GRANGE ISD,75,FAYETTE,13,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
75903,SCHULENBURG ISD,75,FAYETTE,13,N,N,0,C,Meets Requirements,Meets Requirements
75906,FAYETTEVILLE ISD,75,FAYETTE,13,N,N, ,Met Standard,Meets Requirements,Meets Requirements
75908,ROUND TOP-CARMINE ISD,75,FAYETTE,13,N,N,0,B,Meets Requirements,Meets Requirements
76903,ROBY CISD,76,FISHER,14,N,N,1,A,Meets Requirements,Meets Requirements
76904,ROTAN ISD,76,FISHER,14,N,N,0,B,Meets Requirements,Meets Requirements
77901,FLOYDADA ISD,77,FLOYD,17,N,N,1,B,Meets Requirements,Not Reported
77902,LOCKNEY ISD,77,FLOYD,17,N,N,0,B,Needs Assistance,Not Reported
78901,CROWELL ISD,78,FOARD,9,N,N, ,Met Standard,Meets Requirements,Not Reported
79901,LAMAR CISD,79,FORT BEND,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
79906,NEEDVILLE ISD,79,FORT BEND,4,N,N,0,A,Meets Requirements,Not Given
79907,FORT BEND ISD,79,FORT BEND,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
79910,STAFFORD MSD,79,FORT BEND,4,N,N,0,B,Needs Assistance,Meets Requirements
80901,MOUNT VERNON ISD,80,FRANKLIN,8,N,N,0,B,Needs Assistance,Not Given
81902,FAIRFIELD ISD,81,FREESTONE,12,N,N,0,B,Meets Requirements,Not Given
81904,TEAGUE ISD,81,FREESTONE,12,N,N,0,C,Meets Requirements,Not Reported
81905,WORTHAM ISD,81,FREESTONE,12,N,N,0,C,Meets Requirements,Not Reported
81906,DEW ISD,81,FREESTONE,12,N,N, ,Met Standard,Meets Requirements,Meets Requirements
82902,DILLEY ISD,82,FRIO,20,N,N,0,C,Meets Requirements,Meets Requirements
82903,PEARSALL ISD,82,FRIO,20,N,N,0,D,Needs Substantial Intervention,Meets Requirements
83901,SEAGRAVES ISD,83,GAINES,17,N,N, ,Met Standard,Meets Requirements,Meets Requirements
83902,LOOP ISD,83,GAINES,17,N,N, ,Met Standard,Meets Requirements,Not Reported
83903,SEMINOLE ISD,83,GAINES,17,N,N,0,C,Needs Assistance,Meets Requirements
84802,ODYSSEY ACADEMY INC,84,GALVESTON,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
84804,AMBASSADORS PREPARATORY ACADEMY,84,GALVESTON,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
84901,DICKINSON ISD,84,GALVESTON,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
84902,GALVESTON ISD,84,GALVESTON,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
84903,HIGH ISLAND ISD,84,GALVESTON,5,N,N, ,Met Standard,Meets Requirements,Meets Requirements
84906,TEXAS CITY ISD,84,GALVESTON,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
84908,HITCHCOCK ISD,84,GALVESTON,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
84909,SANTA FE ISD,84,GALVESTON,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Not Given
84910,CLEAR CREEK ISD,84,GALVESTON,4,N,N,0,A,Meets Requirements,Meets Requirements
84911,FRIENDSWOOD ISD,84,GALVESTON,4,N,N,0,A,Meets Requirements,Meets Requirements
85902,POST ISD,85,GARZA,17,N,N,0,C,Meets Requirements,Not Reported
85903,SOUTHLAND ISD,85,GARZA,17,N,N, ,Met Standard,Meets Requirements,Meets Requirements
86024,DOSS CONSOLIDATED CSD,86,GILLESPIE,13,N,N, ,Not Rated,Meets Requirements,Meets Requirements
86901,FREDERICKSBURG ISD,86,GILLESPIE,13,N,N,0,B,Meets Requirements,Meets Requirements
86902,HARPER ISD,86,GILLESPIE,13,N,N,0,B,Meets Requirements,Meets Requirements
87901,GLASSCOCK COUNTY ISD,87,GLASSCOCK,18,N,N,0,A,Meets Requirements,Meets Requirements
88902,GOLIAD ISD,88,GOLIAD,3,N,N,0,B,Needs Assistance,Meets Requirements
89901,GONZALES ISD,89,GONZALES,13,N,N,0,F,Needs Intervention,Meets Requirements
89903,NIXON-SMILEY CISD,89,GONZALES,13,N,N,0,B,Needs Assistance,Meets Requirements
89905,WAELDER ISD,89,GONZALES,13,N,N, ,Met Standard,Meets Requirements,Not Reported
90902,LEFORS ISD,90,GRAY,16,N,N, ,Met Standard,Meets Requirements,Meets Requirements
90903,MCLEAN ISD,90,GRAY,16,N,N, ,Met Standard,Meets Requirements,Meets Requirements
90904,PAMPA ISD,90,GRAY,16,N,N,0,C,Meets Requirements,Not Reported
90905,GRANDVIEW-HOPKINS ISD,90,GRAY,16,N,N, ,Met Standard,Meets Requirements,Meets Requirements
91901,BELLS ISD,91,GRAYSON,10,N,N,1,A,Meets Requirements,Meets Requirements
91902,COLLINSVILLE ISD,91,GRAYSON,10,N,N,0,C,Meets Requirements,Not Reported
91903,DENISON ISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Meets Requirements
91905,HOWE ISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Meets Requirements
91906,SHERMAN ISD,91,GRAYSON,10,N,N,0,C,Needs Intervention,Meets Requirements
91907,TIOGA ISD,91,GRAYSON,10,N,N, ,Met Standard,Meets Requirements,Meets Requirements
91908,VAN ALSTYNE ISD,91,GRAYSON,10,N,N,0,A,Meets Requirements,Not Reported
91909,WHITESBORO ISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Not Reported
91910,WHITEWRIGHT ISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Not Reported
91913,POTTSBORO ISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Meets Requirements
91914,S AND S CISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Meets Requirements
91917,GUNTER ISD,91,GRAYSON,10,N,N,0,B,Meets Requirements,Meets Requirements
91918,TOM BEAN ISD,91,GRAYSON,10,N,N,0,F,Meets Requirements,Meets Requirements
92801,EAST TEXAS CHARTER SCHOOLS,92,GREGG,7,Y,Y, ,Met Alternative Standard,Meets Requirements,Meets Requirements
92901,GLADEWATER ISD,92,GREGG,7,N,N,0,C,Needs Intervention,Meets Requirements
92902,KILGORE ISD,92,GREGG,7,N,N,0,C,Needs Intervention,Meets Requirements
92903,LONGVIEW ISD,92,GREGG,7,N,N,0,B,Meets Requirements,Meets Requirements
92904,PINE TREE ISD,92,GREGG,7,N,N,0,C,Needs Assistance,Meets Requirements
92906,SABINE ISD,92,GREGG,7,N,N,0,C,Meets Requirements,Meets Requirements
92907,SPRING HILL ISD,92,GREGG,7,N,N,0,A,Meets Requirements,Meets Requirements
92908,WHITE OAK ISD,92,GREGG,7,N,N,0,B,Meets Requirements,Meets Requirements
93901,ANDERSON-SHIRO CISD,93,GRIMES,6,N,N,0,B,Meets Requirements,Not Reported
93903,IOLA ISD,93,GRIMES,6,N,N,0,A,Meets Requirements,Meets Requirements
93904,NAVASOTA ISD,93,GRIMES,6,N,N,0,D,Needs Intervention,Meets Requirements
93905,RICHARDS ISD,93,GRIMES,6,N,N,0,C,Meets Requirements,Meets Requirements
94901,SEGUIN ISD,94,GUADALUPE,13,N,N,0,C,Needs Assistance,Meets Requirements
94902,SCHERTZ-CIBOLO-U CITY ISD,94,GUADALUPE,20,N,N,0,B,Meets Requirements,Not Reported
94903,NAVARRO ISD,94,GUADALUPE,13,N,N,0,B,Meets Requirements,Meets Requirements
94904,MARION ISD,94,GUADALUPE,20,N,N,0,B,Meets Requirements,Meets Requirements
95901,ABERNATHY ISD,95,HALE,17,N,N,0,B,Meets Requirements,Not Reported
95902,COTTON CENTER ISD,95,HALE,17,N,N, ,Met Standard,Meets Requirements,Meets Requirements
95903,HALE CENTER ISD,95,HALE,17,N,N,0,B,Meets Requirements,Meets Requirements
95904,PETERSBURG ISD,95,HALE,17,N,N, ,Met Standard,Meets Requirements,Meets Requirements
95905,PLAINVIEW ISD,95,HALE,17,N,N,0,B,Meets Requirements,Meets Requirements
96904,MEMPHIS ISD,96,HALL,16,N,N,0,B,Meets Requirements,Meets Requirements
96905,TURKEY-QUITAQUE ISD,96,HALL,16,N,N, ,Met Standard,Meets Requirements,Not Reported
97902,HAMILTON ISD,97,HAMILTON,12,N,N,0,B,Meets Requirements,Not Reported
97903,HICO ISD,97,HAMILTON,12,N,N,0,B,Meets Requirements,Meets Requirements
98901,GRUVER ISD,98,HANSFORD,16,N,N,0,A,Meets Requirements,Not Reported
98903,PRINGLE-MORSE CISD,98,HANSFORD,16,N,N, ,Met Standard,Meets Requirements,Meets Requirements
98904,SPEARMAN ISD,98,HANSFORD,16,N,N,0,A,Meets Requirements,Not Reported
99902,CHILLICOTHE ISD,99,HARDEMAN,9,N,N,0,B,Meets Requirements,Not Reported
99903,QUANAH ISD,99,HARDEMAN,9,N,N,0,B,Meets Requirements,Meets Requirements
100903,KOUNTZE ISD,100,HARDIN,5,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Not Reported
100904,SILSBEE ISD,100,HARDIN,5,N,N, ,Not Rated: Harvey Provision,Needs Intervention,Meets Requirements
100905,HARDIN-JEFFERSON ISD,100,HARDIN,5,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
100907,LUMBERTON ISD,100,HARDIN,5,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
100908,WEST HARDIN COUNTY CISD,100,HARDIN,5,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101802,SER-NINOS CHARTER SCHOOL,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101803,ARISTOI CLASSICAL ACADEMY,101,HARRIS,4,Y,N,0,B,Meets Requirements,Meets Requirements
101804,GEORGE I SANCHEZ CHARTER,101,HARRIS,4,Y,Y, ,C,Needs Assistance,Not Reported
101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Not Reported
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101810,ACADEMY OF ACCELERATED LEARNING IN,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101811,EXCEL ACADEMY,101,HARRIS,4,Y,Y, ,Not Rated,Needs Intervention,Not Reported
101813,KIPP INC CHARTER,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101814,THE VARNETT PUBLIC SCHOOL,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101821,HOUSTON HEIGHTS HIGH SCHOOL,101,HARRIS,4,Y,Y, ,Met Alternative Standard,Meets Requirements,Alternate Test Given
101828,HOUSTON GATEWAY ACADEMY INC,101,HARRIS,4,Y,N,0,A,Meets Requirements,Not Reported
101837,CALVIN NELMS CHARTER SCHOOLS,101,HARRIS,4,Y,N,0,A,Meets Requirements,Meets Requirements
101838,SOUTHWEST SCHOOL,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Not Reported
101840,TWO DIMENSIONS PREPARATORY ACADEMY,101,HARRIS,4,Y,N, ,B,Meets Requirements,Meets Requirements
101842,COMQUEST ACADEMY,101,HARRIS,4,Y,Y, ,Met Alternative Standard,Meets Requirements,Not Reported
101845,YES PREP PUBLIC SCHOOLS INC,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
101846,HARMONY SCIENCE ACADEMY,101,HARRIS,4,Y,N,1,A,Meets Requirements,Not Given
101847,BEATRICE MAYES INSTITUTE CHARTER S,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101849,ACCELERATED INTERMEDIATE ACADEMY,101,HARRIS,4,Y,N, ,A,Meets Requirements,Meets Requirements
101853,PROMISE COMMUNITY SCHOOL,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101855,MEYERPARK ELEMENTARY,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101856,DRAW ACADEMY,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101858,HARMONY SCHOOL OF EXCELLENCE,101,HARRIS,4,Y,N,1,A,Meets Requirements,Not Reported
101859,STEP CHARTER SCHOOL,101,HARRIS,4,Y,N, ,B,Meets Requirements,Meets Requirements
101861,THE RHODES SCHOOL,101,HARRIS,4,Y,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,101,HARRIS,4,Y,N,1,A,Meets Requirements,Not Reported
101864,THE LAWSON ACADEMY,101,HARRIS,4,Y,Y, ,Met Alternative Standard,Meets Requirements,Meets Requirements
101868,THE PRO-VISION ACADEMY,101,HARRIS,4,Y,Y, ,Not Rated: Harvey Provision,Needs Intervention,Not Reported
101870,BETA ACADEMY,101,HARRIS,4,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
101871,A+ UNLIMITED POTENTIAL,101,HARRIS,4,Y,N, ,F,Meets Requirements,Meets Requirements
101902,ALDINE ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Substantial Intervention,Meets Requirements
101903,ALIEF ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Intervention,Meets Requirements
101905,CHANNELVIEW ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101906,CROSBY ISD,101,HARRIS,4,N,N,0,B,Meets Requirements,Meets Requirements
101907,CYPRESS-FAIRBANKS ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101908,DEER PARK ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
101910,GALENA PARK ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
101911,GOOSE CREEK CISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
101912,HOUSTON ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Intervention,Meets Requirements
101913,HUMBLE ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Not Given
101914,KATY ISD,101,HARRIS,4,N,N,0,A,Meets Requirements,Meets Requirements
101915,KLEIN ISD,101,HARRIS,4,N,N,0,B,Meets Requirements,Meets Requirements
101916,LA PORTE ISD,101,HARRIS,4,N,N,0,B,Meets Requirements,Meets Requirements
101917,PASADENA ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
101919,SPRING ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Intervention,Meets Requirements
101920,SPRING BRANCH ISD,101,HARRIS,4,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
101921,TOMBALL ISD,101,HARRIS,4,N,N,0,A,Meets Requirements,Meets Requirements
