DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,DAD_POST,D_RATING,OUTCOME,ASVAB_STATUS
15822,JUBILEE ACADEMIES,15,BEXAR,20,Y,N,0,D,Needs Intervention,Not Reported
15825,LIGHTHOUSE CHARTER SCHOOL,15,BEXAR,20,Y,N, ,C,Meets Requirements,Meets Requirements
15826,KIPP SAN ANTONIO,15,BEXAR,20,Y,N,0,B,Meets Requirements,Meets Requirements
15827,SCHOOL OF SCIENCE AND TECHNOLOGY,15,BEXAR,20,Y,N,0,A,Meets Requirements,Meets Requirements
15828,HARMONY SCIENCE ACAD (SAN ANTONIO),15,BEXAR,20,Y,N,0,A,Meets Requirements,Not Reported
15830,BROOKS ACADEMY OF SCIENCE AND ENGI,15,BEXAR,20,Y,N,0,D,Meets Requirements,Not Reported
15831,SCHOOL OF SCIENCE AND TECHNOLOGY D,15,BEXAR,20,Y,N,1,A,Meets Requirements,Meets Requirements
15833,HENRY FORD ACADEMY ALAMEDA SCHOOL,15,BEXAR,20,Y,N, ,Met Standard,Meets Requirements,Not Reported
15834,BASIS TEXAS,15,BEXAR,20,Y,N,0,A,Meets Requirements,Alternate Test Given
15835,GREAT HEARTS TEXAS,15,BEXAR,20,Y,N,0,A,Meets Requirements,Meets Requirements
15836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15,BEXAR,20,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
15837,CARPE DIEM SCHOOLS,15,BEXAR,20,Y,N, ,Improvement Required,Meets Requirements,Meets Requirements
15838,COMPASS ROSE ACADEMY,15,BEXAR,20,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
15901,ALAMO HEIGHTS ISD,15,BEXAR,20,N,N,0,B,Meets Requirements,Meets Requirements
15904,HARLANDALE ISD,15,BEXAR,20,N,N,0,C,Needs Assistance,Meets Requirements
15905,EDGEWOOD ISD,15,BEXAR,20,N,N,0,D,Needs Intervention,Meets Requirements
