,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
46,ARISTOI CLASSICAL ACADEMY,101803,I,Charter Schools,21,Suburb-Large,Y
47,ARLINGTON CLASSICS ACADEMY,220802,I,Charter Schools,21,Suburb-Large,Y
48,ARLINGTON ISD,220901,A,Major Urban,11,City-Large,N
49,ARP ISD,212901,G,Non-metropolitan Stable,42,Rural-Distant,N
50,ARROW ACADEMY,21805,I,Charter Schools,21,Suburb-Large,Y
51,ASPERMONT ISD,217901,H,Rural,43,Rural-Remote,N
52,ATHENS ISD,107901,E,Independent Town,32,Town-Distant,N
53,ATLANTA ISD,34901,E,Independent Town,41,Rural-Fringe,N
54,AUBREY ISD,61907,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
55,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,Charter Schools,11,City-Large,Y
56,AUSTIN DISCOVERY SCHOOL,227821,I,Charter Schools,11,City-Large,Y
57,AUSTIN ISD,227901,A,Major Urban,11,City-Large,N
58,AUSTWELL-TIVOLI ISD,196901,H,Rural,42,Rural-Distant,N
59,AVALON ISD,70901,H,Rural,42,Rural-Distant,N
60,AVERY ISD,194902,H,Rural,43,Rural-Remote,N
61,AVINGER ISD,34902,H,Rural,42,Rural-Distant,N
62,AXTELL ISD,161918,H,Rural,42,Rural-Distant,N
63,AZLE ISD,220915,B,Major Suburban,21,Suburb-Large,N
64,BAIRD ISD,30903,H,Rural,42,Rural-Distant,N
65,BALLINGER ISD,200901,H,Rural,41,Rural-Fringe,N
66,BALMORHEA ISD,195902,H,Rural,43,Rural-Remote,N
67,BANDERA ISD,10902,G,Non-metropolitan Stable,42,Rural-Distant,N
68,BANGS ISD,25901,H,Rural,42,Rural-Distant,N
69,BANQUETE ISD,178913,H,Rural,42,Rural-Distant,N
70,BARBERS HILL ISD,36902,D,Other Central City Suburban,41,Rural-Fringe,N
71,BARTLETT ISD,14902,H,Rural,32,Town-Distant,N
72,BASIS TEXAS,15834,I,Charter Schools,11,City-Large,Y
73,BASTROP ISD,11901,C,Other Central City,42,Rural-Distant,N
74,BAY CITY ISD,158901,E,Independent Town,32,Town-Distant,N
75,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,101847,I,Charter Schools,11,City-Large,Y
76,BEAUMONT ISD,123910,C,Other Central City,12,City-Midsize,N
77,BECKVILLE ISD,183901,H,Rural,42,Rural-Distant,N
78,BEEVILLE ISD,13901,E,Independent Town,32,Town-Distant,N
79,BELLEVUE ISD,39904,H,Rural,42,Rural-Distant,N
80,BELLS ISD,91901,D,Other Central City Suburban,42,Rural-Distant,N
81,BELLVILLE ISD,8901,E,Independent Town,32,Town-Distant,N
82,BELTON ISD,14903,D,Other Central City Suburban,13,City-Small,N
83,BEN BOLT-PALITO BLANCO ISD,125902,H,Rural,42,Rural-Distant,N
84,BENAVIDES ISD,66901,H,Rural,43,Rural-Remote,N
85,BENJAMIN ISD,138904,H,Rural,43,Rural-Remote,N
86,BETA ACADEMY,101870,I,Charter Schools,11,City-Large,Y
87,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,152806,I,Charter Schools,11,City-Large,Y
88,BEXAR COUNTY ACADEMY,15809,I,Charter Schools,11,City-Large,Y
89,BIG SANDY ISD,187901,H,Rural,43,Rural-Remote,N
90,BIG SANDY ISD,230901,H,Rural,42,Rural-Distant,N
91,BIG SPRING ISD,114901,E,Independent Town,32,Town-Distant,N
92,BIG SPRINGS CHARTER SCHOOL,193801,I,Charter Schools,43,Rural-Remote,Y
93,BIRDVILLE ISD,220902,B,Major Suburban,21,Suburb-Large,N
94,BISHOP CISD,178902,G,Non-metropolitan Stable,32,Town-Distant,N
95,BLACKWELL CISD,177903,H,Rural,43,Rural-Remote,N
96,BLANCO ISD,16902,G,Non-metropolitan Stable,42,Rural-Distant,N
97,BLAND ISD,116915,H,Rural,42,Rural-Distant,N
98,BLANKET ISD,25904,H,Rural,42,Rural-Distant,N
99,BLOOM ACADEMY CHARTER SCHOOL,101875,I,Charter Schools,11,City-Large,Y
100,BLOOMBURG ISD,34909,H,Rural,42,Rural-Distant,N
101,BLOOMING GROVE ISD,175902,G,Non-metropolitan Stable,42,Rural-Distant,N
102,BLOOMINGTON ISD,235901,H,Rural,42,Rural-Distant,N
103,BLUE RIDGE ISD,43917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
104,BLUFF DALE ISD,72904,H,Rural,43,Rural-Remote,N
105,BLUM ISD,109913,H,Rural,42,Rural-Distant,N
106,BOB HOPE SCHOOL,123807,I,Charter Schools,13,City-Small,Y
107,BOERNE ISD,130901,B,Major Suburban,41,Rural-Fringe,N
108,BOLES ISD,116916,H,Rural,41,Rural-Fringe,N
109,BOLING ISD,241901,G,Non-metropolitan Stable,42,Rural-Distant,N
110,BONHAM ISD,74903,E,Independent Town,32,Town-Distant,N
111,BOOKER ISD,148901,H,Rural,43,Rural-Remote,N
112,BORDEN COUNTY ISD,17901,H,Rural,43,Rural-Remote,N
113,BORGER ISD,117901,G,Non-metropolitan Stable,32,Town-Distant,N
114,BOSQUEVILLE ISD,161923,H,Rural,41,Rural-Fringe,N
115,BOVINA ISD,185901,H,Rural,43,Rural-Remote,N
116,BOWIE ISD,169901,G,Non-metropolitan Stable,33,Town-Remote,N
117,BOYD ISD,249902,G,Non-metropolitan Stable,42,Rural-Distant,N
118,BOYS RANCH ISD,180901,H,Rural,43,Rural-Remote,N
119,BRACKETT ISD,136901,H,Rural,33,Town-Remote,N
120,BRADY ISD,160901,G,Non-metropolitan Stable,41,Rural-Fringe,N
121,BRAZOS ISD,8903,H,Rural,42,Rural-Distant,N
122,BRAZOS RIVER CHARTER SCHOOL,213801,I,Charter Schools,42,Rural-Distant,Y
123,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,21803,I,Charter Schools,13,City-Small,Y
124,BRAZOSPORT ISD,20905,D,Other Central City Suburban,23,Suburb-Small,N
125,BRECKENRIDGE ISD,215901,G,Non-metropolitan Stable,33,Town-Remote,N
126,BREMOND ISD,198901,H,Rural,43,Rural-Remote,N
127,BRENHAM ISD,239901,E,Independent Town,32,Town-Distant,N
128,BRIDGE CITY ISD,181901,E,Independent Town,22,Suburb-Midsize,N
129,BRIDGEPORT ISD,249903,G,Non-metropolitan Stable,41,Rural-Fringe,N
130,BRIDGEWAY PREPARATORY ACADEMY,57851,I,Charter Schools,21,Suburb-Large,Y
131,BRILLANTE ACADEMY,108810,,,21,Suburb-Large,Y
132,BROADDUS ISD,203902,H,Rural,43,Rural-Remote,N
133,BROCK ISD,184909,D,Other Central City Suburban,42,Rural-Distant,N
134,BRONTE ISD,41901,H,Rural,43,Rural-Remote,N
135,BROOKELAND ISD,121902,H,Rural,43,Rural-Remote,N
136,BROOKESMITH ISD,25908,H,Rural,43,Rural-Remote,N
137,BROOKS ACADEMIES OF TEXAS,15830,I,Charter Schools,11,City-Large,Y
138,BROOKS COUNTY ISD,24901,D,Other Central City Suburban,33,Town-Remote,N
139,BROWNFIELD ISD,223901,G,Non-metropolitan Stable,32,Town-Distant,N
140,BROWNSBORO ISD,107902,D,Other Central City Suburban,42,Rural-Distant,N
141,BROWNSVILLE ISD,31901,C,Other Central City,12,City-Midsize,N
142,BROWNWOOD ISD,25902,E,Independent Town,33,Town-Remote,N
143,BRUCEVILLE-EDDY ISD,161919,H,Rural,42,Rural-Distant,N
144,BRYAN ISD,21902,C,Other Central City,13,City-Small,N
145,BRYSON ISD,119901,H,Rural,43,Rural-Remote,N
146,BUCKHOLTS ISD,166907,H,Rural,42,Rural-Distant,N
147,BUENA VISTA ISD,186901,H,Rural,43,Rural-Remote,N
148,BUFFALO ISD,145901,G,Non-metropolitan Stable,43,Rural-Remote,N
149,BULLARD ISD,212902,D,Other Central City Suburban,41,Rural-Fringe,N
150,BUNA ISD,121903,G,Non-metropolitan Stable,42,Rural-Distant,N
151,BURKBURNETT ISD,243901,D,Other Central City Suburban,31,Town-Fringe,N
152,BURKEVILLE ISD,176901,H,Rural,43,Rural-Remote,N
153,BURLESON ISD,126902,C,Other Central City,21,Suburb-Large,N
154,BURNET CISD,27903,D,Other Central City Suburban,41,Rural-Fringe,N
155,BURNHAM WOOD CHARTER SCHOOL DISTRICT,71801,I,Charter Schools,11,City-Large,Y
156,BURTON ISD,239903,H,Rural,42,Rural-Distant,N
157,BUSHLAND ISD,188904,D,Other Central City Suburban,41,Rural-Fringe,N
158,BYNUM ISD,109902,H,Rural,42,Rural-Distant,N
159,CADDO MILLS ISD,116901,D,Other Central City Suburban,42,Rural-Distant,N
160,CALALLEN ISD,178903,G,Non-metropolitan Stable,11,City-Large,N
161,CALDWELL ISD,26901,D,Other Central City Suburban,41,Rural-Fringe,N
162,CALHOUN COUNTY ISD,29901,G,Non-metropolitan Stable,32,Town-Distant,N
163,CALLISBURG ISD,49905,G,Non-metropolitan Stable,42,Rural-Distant,N
164,CALVERT ISD,198902,H,Rural,42,Rural-Distant,N
165,CALVIN NELMS CHARTER SCHOOLS,101837,I,Charter Schools,21,Suburb-Large,Y
166,CAMERON ISD,166901,E,Independent Town,41,Rural-Fringe,N
167,CAMPBELL ISD,116910,H,Rural,42,Rural-Distant,N
168,CANADIAN ISD,106901,H,Rural,33,Town-Remote,N
169,CANTON ISD,234902,E,Independent Town,32,Town-Distant,N
170,CANUTILLO ISD,71907,B,Major Suburban,11,City-Large,N
171,CANYON ISD,191901,C,Other Central City,12,City-Midsize,N
172,CARLISLE ISD,201913,H,Rural,42,Rural-Distant,N
173,CARRIZO SPRINGS CISD,64903,D,Other Central City Suburban,33,Town-Remote,N
174,CARROLL ISD,220919,B,Major Suburban,21,Suburb-Large,N
175,CARROLLTON-FARMERS BRANCH ISD,57903,B,Major Suburban,21,Suburb-Large,N
176,CARTHAGE ISD,183902,G,Non-metropolitan Stable,32,Town-Distant,N
177,CASTLEBERRY ISD,220917,B,Major Suburban,21,Suburb-Large,N
178,CAYUGA ISD,1902,H,Rural,43,Rural-Remote,N
179,CEDAR HILL ISD,57904,B,Major Suburban,21,Suburb-Large,N
180,CEDARS INTERNATIONAL ACADEMY,227817,I,Charter Schools,11,City-Large,Y
181,CELESTE ISD,116902,H,Rural,42,Rural-Distant,N
182,CELINA ISD,43903,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
183,CENTER ISD,210901,G,Non-metropolitan Stable,33,Town-Remote,N
184,CENTER POINT ISD,133901,H,Rural,42,Rural-Distant,N
185,CENTERVILLE ISD,145902,H,Rural,43,Rural-Remote,N
186,CENTERVILLE ISD,228904,H,Rural,43,Rural-Remote,N
187,CENTRAL HEIGHTS ISD,174908,G,Non-metropolitan Stable,41,Rural-Fringe,N
188,CENTRAL ISD,3907,G,Non-metropolitan Stable,41,Rural-Fringe,N
189,CHANNELVIEW ISD,101905,B,Major Suburban,21,Suburb-Large,N
190,CHANNING ISD,103901,H,Rural,43,Rural-Remote,N
191,CHAPARRAL STAR ACADEMY,227814,I,Charter Schools,21,Suburb-Large,Y
192,CHAPEL HILL ACADEMY,220815,I,Charter Schools,11,City-Large,Y
193,CHAPEL HILL ISD,212909,D,Other Central City Suburban,41,Rural-Fringe,N
194,CHAPEL HILL ISD,225906,G,Non-metropolitan Stable,42,Rural-Distant,N
195,CHARLOTTE ISD,7901,H,Rural,42,Rural-Distant,N
196,CHEROKEE ISD,206903,H,Rural,43,Rural-Remote,N
197,CHESTER ISD,229906,H,Rural,43,Rural-Remote,N
198,CHICO ISD,249904,H,Rural,42,Rural-Distant,N
199,CHILDRESS ISD,38901,G,Non-metropolitan Stable,33,Town-Remote,N
200,CHILLICOTHE ISD,99902,H,Rural,43,Rural-Remote,N
201,CHILTON ISD,73901,H,Rural,42,Rural-Distant,N
202,CHINA SPRING ISD,161920,D,Other Central City Suburban,41,Rural-Fringe,N
203,CHIRENO ISD,174901,H,Rural,43,Rural-Remote,N
204,CHISUM ISD,139905,G,Non-metropolitan Stable,41,Rural-Fringe,N
205,CHRISTOVAL ISD,226901,H,Rural,42,Rural-Distant,N
206,CISCO ISD,67902,H,Rural,33,Town-Remote,N
207,CITY VIEW ISD,243906,D,Other Central City Suburban,41,Rural-Fringe,N
208,CITYSCAPE SCHOOLS,57841,I,Charter Schools,11,City-Large,Y
209,CLARENDON ISD,65901,H,Rural,43,Rural-Remote,N
210,CLARKSVILLE ISD,194904,H,Rural,33,Town-Remote,N
211,CLAUDE ISD,6902,H,Rural,42,Rural-Distant,N
212,CLEAR CREEK ISD,84910,C,Other Central City,21,Suburb-Large,N
213,CLEBURNE ISD,126903,D,Other Central City Suburban,41,Rural-Fringe,N
214,CLEVELAND ISD,146901,C,Other Central City,31,Town-Fringe,N
215,CLIFTON ISD,18901,G,Non-metropolitan Stable,32,Town-Distant,N
216,CLINT ISD,71901,B,Major Suburban,21,Suburb-Large,N
217,CLYDE CISD,30902,D,Other Central City Suburban,32,Town-Distant,N
218,COAHOMA ISD,114902,G,Non-metropolitan Stable,42,Rural-Distant,N
219,COLDSPRING-OAKHURST CISD,204901,D,Other Central City Suburban,42,Rural-Distant,N
220,COLEMAN ISD,42901,H,Rural,33,Town-Remote,N
221,COLLEGE STATION ISD,21901,C,Other Central City,12,City-Midsize,N
222,COLLINSVILLE ISD,91902,H,Rural,42,Rural-Distant,N
223,COLMESNEIL ISD,229901,H,Rural,42,Rural-Distant,N
224,COLORADO ISD,168901,H,Rural,41,Rural-Fringe,N
225,COLUMBIA-BRAZORIA ISD,20907,G,Non-metropolitan Stable,32,Town-Distant,N
226,COLUMBUS ISD,45902,G,Non-metropolitan Stable,33,Town-Remote,N
227,COMAL ISD,46902,B,Major Suburban,41,Rural-Fringe,N
228,COMANCHE ISD,47901,G,Non-metropolitan Stable,41,Rural-Fringe,N
229,COMFORT ISD,130902,G,Non-metropolitan Stable,32,Town-Distant,N
230,COMMERCE ISD,116903,D,Other Central City Suburban,41,Rural-Fringe,N
231,COMMUNITY ISD,43918,D,Other Central City Suburban,41,Rural-Fringe,N
232,COMO-PICKTON CISD,112908,H,Rural,42,Rural-Distant,N
233,COMPASS ACADEMY CHARTER SCHOOL,68802,I,Charter Schools,12,City-Midsize,Y
234,COMPASS ROSE PUBLIC SCHOOLS,15838,I,Charter Schools,11,City-Large,Y
235,COMQUEST ACADEMY,101842,I,Charter Schools,21,Suburb-Large,Y
236,COMSTOCK ISD,233903,H,Rural,43,Rural-Remote,N
237,CONNALLY ISD,161921,D,Other Central City Suburban,22,Suburb-Midsize,N
238,CONROE ISD,170902,C,Other Central City,12,City-Midsize,N
239,COOLIDGE ISD,147901,H,Rural,42,Rural-Distant,N
240,COOPER ISD,60902,H,Rural,43,Rural-Remote,N
241,COPPELL ISD,57922,B,Major Suburban,21,Suburb-Large,N
242,COPPERAS COVE ISD,50910,D,Other Central City Suburban,22,Suburb-Midsize,N
243,CORPUS CHRISTI ISD,178904,C,Other Central City,11,City-Large,N
244,CORPUS CHRISTI MONTESSORI SCHOOL,178807,I,Charter Schools,11,City-Large,Y
245,CORRIGAN-CAMDEN ISD,187904,H,Rural,43,Rural-Remote,N
246,CORSICANA ISD,175903,E,Independent Town,32,Town-Distant,N
247,COTTON CENTER ISD,95902,H,Rural,42,Rural-Distant,N
248,COTULLA ISD,142901,G,Non-metropolitan Stable,33,Town-Remote,N
249,COUPLAND ISD,246914,H,Rural,42,Rural-Distant,N
250,COVINGTON ISD,109903,H,Rural,42,Rural-Distant,N
251,CRANDALL ISD,129901,B,Major Suburban,41,Rural-Fringe,N
252,CRANE ISD,52901,D,Other Central City Suburban,32,Town-Distant,N
253,CRANFILLS GAP ISD,18908,H,Rural,43,Rural-Remote,N
254,CRAWFORD ISD,161901,H,Rural,42,Rural-Distant,N
255,CROCKETT COUNTY CONSOLIDATED CSD,53001,H,Rural,33,Town-Remote,N
256,CROCKETT ISD,113901,G,Non-metropolitan Stable,33,Town-Remote,N
257,CROSBY ISD,101906,B,Major Suburban,41,Rural-Fringe,N
258,CROSBYTON CISD,54901,H,Rural,43,Rural-Remote,N
259,CROSS PLAINS ISD,30901,H,Rural,43,Rural-Remote,N
260,CROSS ROADS ISD,107904,H,Rural,42,Rural-Distant,N
261,CROSSTIMBERS ACADEMY,184801,I,Charter Schools,41,Rural-Fringe,Y
262,CROWELL ISD,78901,H,Rural,43,Rural-Remote,N
263,CROWLEY ISD,220912,B,Major Suburban,11,City-Large,N
264,CRYSTAL CITY ISD,254901,G,Non-metropolitan Stable,33,Town-Remote,N
265,CUERO ISD,62901,G,Non-metropolitan Stable,32,Town-Distant,N
266,CULBERSON COUNTY-ALLAMOORE ISD,55901,H,Rural,43,Rural-Remote,N
267,CUMBERLAND ACADEMY,212801,I,Charter Schools,12,City-Midsize,Y
268,CUMBY ISD,112905,H,Rural,42,Rural-Distant,N
269,CUSHING ISD,174902,H,Rural,43,Rural-Remote,N
270,CYPRESS-FAIRBANKS ISD,101907,B,Major Suburban,21,Suburb-Large,N
271,D'HANIS ISD,163902,H,Rural,42,Rural-Distant,N
272,DAINGERFIELD-LONE STAR ISD,172902,G,Non-metropolitan Stable,32,Town-Distant,N
273,DALHART ISD,56901,G,Non-metropolitan Stable,33,Town-Remote,N
274,DALLAS ISD,57905,A,Major Urban,11,City-Large,N
275,DAMON ISD,20910,H,Rural,42,Rural-Distant,N
276,DANBURY ISD,20904,H,Rural,41,Rural-Fringe,N
277,DARROUZETT ISD,148905,H,Rural,43,Rural-Remote,N
278,DAWSON ISD,58902,H,Rural,43,Rural-Remote,N
279,DAWSON ISD,175904,H,Rural,43,Rural-Remote,N
280,DAYTON ISD,146902,D,Other Central City Suburban,32,Town-Distant,N
281,DE LEON ISD,47902,H,Rural,43,Rural-Remote,N
282,DECATUR ISD,249905,E,Independent Town,32,Town-Distant,N
283,DEER PARK ISD,101908,B,Major Suburban,21,Suburb-Large,N
284,DEKALB ISD,19901,H,Rural,42,Rural-Distant,N
285,DEL VALLE ISD,227910,B,Major Suburban,41,Rural-Fringe,N
286,DELL CITY ISD,115903,H,Rural,43,Rural-Remote,N
287,DENISON ISD,91903,D,Other Central City Suburban,13,City-Small,N
288,DENTON ISD,61901,D,Other Central City Suburban,12,City-Midsize,N
289,DENVER CITY ISD,251901,G,Non-metropolitan Stable,33,Town-Remote,N
290,DESOTO ISD,57906,B,Major Suburban,21,Suburb-Large,N
291,DETROIT ISD,194905,H,Rural,43,Rural-Remote,N
292,DEVERS ISD,146903,H,Rural,42,Rural-Distant,N
293,DEVINE ISD,163901,G,Non-metropolitan Stable,41,Rural-Fringe,N
294,DEW ISD,81906,H,Rural,42,Rural-Distant,N
295,DEWEYVILLE ISD,176903,H,Rural,42,Rural-Distant,N
296,DIBOLL ISD,3905,G,Non-metropolitan Stable,33,Town-Remote,N
297,DICKINSON ISD,84901,D,Other Central City Suburban,22,Suburb-Midsize,N
298,DILLEY ISD,82902,G,Non-metropolitan Stable,41,Rural-Fringe,N
299,DIME BOX ISD,144903,H,Rural,43,Rural-Remote,N
300,DIMMITT ISD,35901,D,Other Central City Suburban,33,Town-Remote,N
301,DIVIDE ISD,133905,H,Rural,43,Rural-Remote,N
302,DODD CITY ISD,74904,H,Rural,42,Rural-Distant,N
303,DONNA ISD,108902,D,Other Central City Suburban,21,Suburb-Large,N
304,DORAL ACADEMY OF TEXAS,105804,,,41,Rural-Fringe,Y
305,DOSS CONSOLIDATED CSD,86024,H,Rural,43,Rural-Remote,N
306,DOUGLASS ISD,174911,H,Rural,43,Rural-Remote,N
307,DR M L GARZA-GONZALEZ CHARTER SCHOOL,178801,I,Charter Schools,11,City-Large,Y
308,DRAW ACADEMY,101856,I,Charter Schools,11,City-Large,Y
309,DRIPPING SPRINGS ISD,105904,B,Major Suburban,42,Rural-Distant,N
310,DRISCOLL ISD,178905,H,Rural,42,Rural-Distant,N
311,DUBLIN ISD,72902,G,Non-metropolitan Stable,41,Rural-Fringe,N
312,DUMAS ISD,171901,G,Non-metropolitan Stable,33,Town-Remote,N
313,DUNCANVILLE ISD,57907,B,Major Suburban,21,Suburb-Large,N
314,EAGLE MT-SAGINAW ISD,220918,B,Major Suburban,11,City-Large,N
315,EAGLE PASS ISD,159901,D,Other Central City Suburban,33,Town-Remote,N
316,EANES ISD,227909,B,Major Suburban,21,Suburb-Large,N
317,EARLY ISD,25909,G,Non-metropolitan Stable,33,Town-Remote,N
318,EAST BERNARD ISD,241902,G,Non-metropolitan Stable,42,Rural-Distant,N
319,EAST CENTRAL ISD,15911,B,Major Suburban,41,Rural-Fringe,N
320,EAST CHAMBERS ISD,36903,G,Non-metropolitan Stable,32,Town-Distant,N
321,EAST FORT WORTH MONTESSORI ACADEMY,220811,I,Charter Schools,11,City-Large,Y
322,EAST TEXAS CHARTER SCHOOLS,92801,I,Charter Schools,13,City-Small,Y
323,EASTLAND ISD,67903,G,Non-metropolitan Stable,33,Town-Remote,N
324,ECTOR COUNTY ISD,68901,C,Other Central City,12,City-Midsize,N
325,ECTOR ISD,74905,H,Rural,41,Rural-Fringe,N
326,EDCOUCH-ELSA ISD,108903,D,Other Central City Suburban,21,Suburb-Large,N
327,EDEN CISD,48901,H,Rural,43,Rural-Remote,N
328,EDGEWOOD ISD,15905,B,Major Suburban,11,City-Large,N
329,EDGEWOOD ISD,234903,G,Non-metropolitan Stable,42,Rural-Distant,N
330,EDINBURG CISD,108904,C,Other Central City,12,City-Midsize,N
331,EDNA ISD,120901,G,Non-metropolitan Stable,32,Town-Distant,N
332,EDUCATION CENTER INTERNATIONAL ACADEMY,57833,I,Charter Schools,21,Suburb-Large,Y
333,EHRHART SCHOOL,123805,I,Charter Schools,12,City-Midsize,Y
334,EL CAMPO ISD,241903,E,Independent Town,32,Town-Distant,N
335,EL PASO ACADEMY,71804,I,Charter Schools,11,City-Large,Y
336,EL PASO ISD,71902,A,Major Urban,11,City-Large,N
337,EL PASO LEADERSHIP ACADEMY,71810,I,Charter Schools,11,City-Large,Y
338,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,15836,I,Charter Schools,11,City-Large,Y
339,ELECTRA ISD,243902,H,Rural,32,Town-Distant,N
340,ELEVATE COLLEGIATE CHARTER SCHOOL,101877,I,Charter Schools,11,City-Large,Y
341,ELGIN ISD,11902,D,Other Central City Suburban,31,Town-Fringe,N
342,ELKHART ISD,1903,G,Non-metropolitan Stable,42,Rural-Distant,N
343,ELYSIAN FIELDS ISD,102906,H,Rural,42,Rural-Distant,N
344,ENNIS ISD,70903,D,Other Central City Suburban,41,Rural-Fringe,N
345,ERA ISD,49906,H,Rural,42,Rural-Distant,N
346,ERATH EXCELS ACADEMY INC,72802,I,Charter Schools,31,Town-Fringe,Y
347,ESSENCE PREPARATORY CHARTER SCHOOL,15844,,,11,City-Large,Y
348,ETOILE ACADEMY CHARTER SCHOOL,101872,I,Charter Schools,11,City-Large,Y
349,ETOILE ISD,174910,H,Rural,43,Rural-Remote,N
350,EULA ISD,30906,H,Rural,42,Rural-Distant,N
351,EUSTACE ISD,107905,G,Non-metropolitan Stable,42,Rural-Distant,N
352,EVADALE ISD,121906,H,Rural,42,Rural-Distant,N
353,EVANT ISD,50901,H,Rural,43,Rural-Remote,N
354,EVERMAN ISD,220904,B,Major Suburban,21,Suburb-Large,N
355,EVOLUTION ACADEMY CHARTER SCHOOL,57834,I,Charter Schools,12,City-Midsize,Y
356,EXCEL ACADEMY,101811,I,Charter Schools,11,City-Large,Y
357,EXCELLENCE IN LEADERSHIP ACADEMY,108809,I,Charter Schools,13,City-Small,Y
358,EXCELSIOR ISD,210906,H,Rural,43,Rural-Remote,N
359,EZZELL ISD,143906,H,Rural,43,Rural-Remote,N
360,FABENS ISD,71903,G,Non-metropolitan Stable,31,Town-Fringe,N
361,FAIRFIELD ISD,81902,G,Non-metropolitan Stable,33,Town-Remote,N
362,FALLS CITY ISD,128904,H,Rural,42,Rural-Distant,N
363,FANNINDEL ISD,60914,H,Rural,43,Rural-Remote,N
364,FARMERSVILLE ISD,43904,F,Non-metropolitan Fast Growing,31,Town-Fringe,N
365,FARWELL ISD,185902,H,Rural,42,Rural-Distant,N
