,DISTNAME,DISTRICT_id,District 2022-23 Total Students Count,District 2023 Staff: All Staff Total Full Time Equiv Count,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Title I Students percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,District 2022-23 Gifted & Talented Education Students Percent,District 2023 Staff: Teacher Student Ratio
149,LULING ISD,28903,1416,195.6,6.0,0.1,0.1,69.2,0.2,22.4,2.0,79.1,100.0,13.1,7.2,13.8,13.8,1.5,0.7,0.5,0.1,0.1,5.7,13.0
150,PRAIRIE LEA ISD,28906,229,34.7,5.2,0.4,0.0,66.4,0.0,24.9,3.1,79.9,100.0,10.9,4.8,12.2,12.7,0.9,0.0,0.0,0.4,0.0,3.1,11.9
151,CALHOUN COUNTY ISD,29901,3530,563.2,1.4,0.1,5.0,67.7,0.0,25.1,0.7,64.1,71.3,12.6,8.0,13.7,13.8,3.4,2.5,0.6,1.6,0.1,6.4,13.6
152,CROSS PLAINS ISD,30901,377,66.3,0.0,0.3,0.0,19.9,0.0,78.5,1.3,67.9,56.2,14.1,8.0,2.9,2.9,3.4,0.0,0.0,0.3,1.6,6.1,10.1
153,CLYDE CISD,30902,1440,233.6,0.8,0.1,0.0,16.9,0.1,77.8,4.2,48.6,70.2,15.3,6.0,0.9,0.9,2.4,0.0,0.1,4.2,0.6,5.2,13.0
154,BAIRD ISD,30903,312,60.4,0.3,0.0,0.0,21.2,0.0,76.3,2.2,51.3,54.2,20.8,4.5,0.0,0.0,3.5,0.0,0.0,9.0,0.3,9.0,9.5
155,EULA ISD,30906,474,80.5,0.2,0.6,0.4,18.8,0.4,76.8,2.7,46.8,55.5,17.7,4.9,0.2,0.2,3.6,0.0,0.0,3.0,1.1,6.1,9.5
156,BROWNSVILLE ISD,31901,37898,5935.8,0.1,0.0,0.2,98.3,0.0,1.3,0.0,89.1,99.2,16.2,9.6,39.4,39.9,3.3,0.8,0.9,0.8,0.2,10.3,14.7
157,HARLINGEN CISD,31903,17034,2708.6,0.5,0.1,0.3,94.2,0.0,4.5,0.4,79.3,68.1,12.2,6.6,19.0,15.6,0.4,0.3,1.2,1.5,0.2,7.4,14.2
158,LA FERIA ISD,31905,2926,503.1,0.1,0.2,0.1,97.1,0.0,2.2,0.2,87.3,100.0,13.7,4.7,14.6,15.3,10.4,0.6,5.1,1.2,0.3,5.3,14.0
159,LOS FRESNOS CISD,31906,10565,1629.2,0.2,0.1,0.2,96.6,0.0,2.8,0.1,80.5,100.0,16.0,7.3,24.5,23.1,0.6,0.9,0.5,2.7,0.2,7.3,15.4
160,POINT ISABEL ISD,31909,1930,328.0,0.5,0.4,0.2,90.4,0.1,7.9,0.6,87.4,100.0,11.2,4.4,37.7,39.6,2.2,3.4,0.0,2.1,0.2,5.6,14.4
161,RIO HONDO ISD,31911,1622,290.7,0.2,0.0,0.0,95.5,0.0,3.9,0.4,87.0,99.8,15.2,4.8,11.1,12.2,0.6,0.6,4.5,3.8,0.0,7.2,13.4
162,SAN BENITO CISD,31912,9354,1469.9,0.2,0.1,0.0,98.4,0.0,1.2,0.1,86.7,98.6,12.0,4.4,26.8,26.9,2.5,1.4,5.9,0.8,0.3,4.3,14.7
163,SANTA MARIA ISD,31913,567,167.2,0.2,0.0,0.0,97.7,0.0,1.6,0.5,99.8,100.0,9.3,1.4,46.0,47.4,0.9,0.9,5.3,0.4,0.0,7.6,9.5
164,SANTA ROSA ISD,31914,915,199.5,0.0,0.0,0.0,99.2,0.0,0.8,0.0,87.9,99.8,14.4,3.2,20.7,21.2,5.7,1.0,2.4,3.4,0.3,3.6,10.4
165,SOUTH TEXAS ISD,31916,4382,646.9,1.2,0.1,6.5,83.9,0.0,7.3,0.8,55.5,100.0,4.9,6.2,13.7,15.0,0.3,0.2,0.3,0.1,0.0,16.7,13.9
166,PITTSBURG ISD,32902,2360,436.3,15.3,0.1,0.8,44.5,0.0,34.8,4.4,81.3,100.0,12.9,10.7,20.5,21.1,3.6,0.8,0.2,3.6,0.6,4.4,11.2
167,GROOM ISD,33901,150,34.7,0.0,0.0,0.0,7.3,0.0,92.0,0.7,34.7,100.0,22.0,12.0,0.7,0.7,1.3,0.0,0.0,1.3,0.0,2.0,7.7
168,PANHANDLE ISD,33902,657,109.2,1.1,1.1,0.6,13.2,0.0,80.8,3.2,30.1,48.2,14.2,11.7,2.0,2.0,1.8,0.0,0.0,9.9,0.5,7.9,11.1
169,WHITE DEER ISD,33904,334,64.1,0.6,0.6,0.0,16.8,0.0,81.4,0.6,53.3,100.0,13.5,6.3,2.4,2.7,0.6,0.0,0.0,0.9,0.0,8.4,10.1
170,ATLANTA ISD,34901,1879,353.3,30.1,0.5,0.5,9.3,0.1,52.6,6.9,65.6,100.0,14.1,10.9,2.4,2.4,4.4,0.0,0.0,6.5,0.6,8.7,12.2
171,AVINGER ISD,34902,123,28.8,15.4,2.4,0.0,6.5,0.0,69.1,6.5,78.0,99.2,13.8,9.8,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,7.1
172,HUGHES SPRINGS ISD,34903,1149,208.3,11.1,0.1,1.2,12.1,0.0,72.9,2.6,59.3,100.0,13.0,16.2,4.8,5.1,0.8,0.2,0.0,0.0,0.5,6.9,10.6
173,LINDEN-KILDARE CISD,34905,660,136.6,13.5,0.6,1.1,9.5,0.0,67.4,7.9,73.3,100.0,16.4,11.7,5.8,5.8,0.3,0.0,0.0,3.9,0.2,6.2,10.2
174,MCLEOD ISD,34906,414,64.2,0.7,0.5,0.0,2.4,0.0,92.0,4.3,57.5,100.0,13.3,21.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.9,11.5
175,QUEEN CITY ISD,34907,954,173.1,13.9,0.6,0.2,4.2,0.3,74.4,6.3,64.5,100.0,19.1,14.8,0.1,0.1,4.4,0.0,0.0,0.2,0.0,6.9,10.2
176,BLOOMBURG ISD,34909,256,49.2,2.7,0.0,0.8,5.5,0.0,89.5,1.6,80.9,100.0,15.2,10.5,2.3,2.3,0.8,0.0,0.0,1.2,0.0,0.8,10.6
177,DIMMITT ISD,35901,1097,216.6,0.5,0.1,0.5,91.4,0.0,7.4,0.1,85.3,99.5,10.2,3.7,23.1,26.1,0.2,2.5,2.2,1.1,0.3,5.7,12.5
178,HART ISD,35902,207,39.2,0.0,0.0,0.0,92.8,0.0,6.8,0.5,83.6,100.0,12.6,4.3,26.1,25.1,21.3,0.0,6.8,0.0,0.0,2.9,11.6
179,NAZARETH ISD,35903,250,39.5,0.8,0.8,0.0,8.8,0.0,87.2,2.4,20.8,100.0,9.2,8.0,0.8,0.4,0.0,0.0,0.0,2.4,0.0,4.8,10.5
180,ANAHUAC ISD,36901,1493,212.6,9.4,0.1,1.9,35.0,0.0,48.0,5.6,61.6,69.6,14.9,8.4,7.8,7.8,1.5,0.0,0.0,6.1,0.0,5.9,14.4
181,BARBERS HILL ISD,36902,7339,1147.0,4.3,0.3,1.5,29.1,0.0,61.4,3.3,29.5,56.9,11.6,8.3,4.9,4.9,0.2,0.6,0.0,10.4,0.0,5.8,13.4
182,EAST CHAMBERS ISD,36903,1556,218.7,7.3,0.1,0.5,46.5,0.1,41.8,3.7,63.4,48.1,13.0,7.9,26.2,26.7,1.7,0.3,0.0,3.5,0.1,6.6,13.4
183,ALTO ISD,37901,536,105.8,21.6,0.0,0.6,35.8,0.0,34.0,8.0,78.0,100.0,18.7,9.5,19.0,20.5,3.7,0.4,0.2,5.4,0.6,6.5,10.0
184,JACKSONVILLE ISD,37904,4909,821.4,15.7,0.6,0.6,53.6,0.0,26.1,3.5,82.5,100.0,15.4,9.2,37.5,33.8,0.9,1.1,0.0,0.1,0.0,9.7,13.9
185,RUSK ISD,37907,2055,311.6,11.9,0.2,0.3,19.0,0.0,62.9,5.6,68.6,70.3,12.9,11.8,7.9,8.0,1.2,0.2,0.2,0.4,0.5,4.8,13.2
186,NEW SUMMERFIELD ISD,37908,515,100.4,1.9,0.2,0.4,85.6,0.0,11.8,0.0,81.4,100.0,9.5,12.2,44.7,50.9,0.0,0.4,0.0,0.0,0.0,3.3,11.2
187,WELLS ISD,37909,259,49.1,9.3,0.0,0.0,10.4,0.0,72.6,7.7,66.4,100.0,19.7,9.7,4.6,4.6,3.1,0.0,0.0,1.9,0.4,4.6,11.6
188,CHILDRESS ISD,38901,1005,175.4,4.1,0.3,1.6,38.1,0.1,52.0,3.8,62.1,100.0,15.4,10.0,3.1,3.1,1.2,0.5,0.0,2.4,0.9,5.4,11.5
189,HENRIETTA ISD,39902,994,184.0,0.5,0.8,0.5,10.9,0.0,84.2,3.1,47.1,48.2,19.6,10.2,1.1,1.1,1.9,0.3,0.0,8.4,0.9,6.8,11.5
190,PETROLIA CISD,39903,473,81.1,1.3,1.5,0.0,9.9,0.0,81.4,5.9,63.8,56.4,16.5,9.9,0.6,0.8,7.8,0.0,0.0,1.1,0.2,3.4,11.2
191,BELLEVUE ISD,39904,167,32.3,0.0,1.2,0.0,4.2,0.0,93.4,1.2,50.3,100.0,14.4,12.6,1.2,1.2,3.6,0.6,0.0,0.0,0.0,1.2,10.3
192,MIDWAY ISD,39905,131,32.0,0.0,0.0,0.0,6.9,0.0,93.1,0.0,55.0,100.0,22.1,6.1,3.1,3.1,11.5,0.8,0.0,8.4,0.0,6.9,7.8
193,MORTON ISD,40901,353,68.6,0.8,0.0,0.0,88.4,0.0,10.2,0.6,82.7,100.0,14.2,5.4,23.8,23.8,0.8,0.3,0.0,1.4,0.6,5.4,10.6
194,WHITEFACE CISD,40902,329,66.4,0.0,1.2,0.0,53.5,0.0,42.9,2.4,55.3,100.0,13.1,11.6,9.7,9.7,0.6,0.0,0.0,0.6,0.0,4.3,9.3
195,BRONTE ISD,41901,235,49.9,0.0,0.0,0.0,20.0,0.0,78.7,1.3,51.9,100.0,20.4,6.8,1.7,2.1,0.9,0.0,0.0,0.4,0.0,11.1,8.2
196,ROBERT LEE ISD,41902,276,46.7,0.4,0.7,0.0,42.8,0.0,55.1,1.1,62.0,98.2,16.7,3.3,2.9,2.9,3.3,0.0,1.4,1.8,1.4,3.3,11.3
197,COLEMAN ISD,42901,794,158.4,2.1,0.4,1.1,26.7,0.0,66.0,3.7,57.9,100.0,17.4,14.1,1.9,1.9,1.9,0.0,0.0,0.4,0.1,2.3,11.3
198,SANTA ANNA ISD,42903,270,52.5,5.9,0.7,0.0,23.7,0.0,65.6,4.1,99.6,100.0,9.3,14.1,0.4,0.4,4.1,0.0,0.0,5.6,1.9,6.7,11.0
199,PANTHER CREEK CISD,42905,145,35.4,1.4,0.0,0.0,17.2,0.0,77.9,3.4,68.3,98.6,32.4,6.9,0.7,0.7,0.0,0.0,0.0,2.1,2.8,6.9,7.0
202,ALLEN ISD,43901,21769,2654.3,12.5,0.5,27.4,15.2,0.3,38.3,5.9,17.7,5.0,14.1,10.9,11.1,11.3,0.2,3.4,0.0,6.1,0.1,14.5,16.2
203,ANNA ISD,43902,5018,696.2,20.3,0.4,2.4,32.2,0.1,38.8,5.8,53.3,35.4,14.4,15.3,13.1,13.2,0.5,1.1,0.0,6.6,0.4,5.0,14.5
204,CELINA ISD,43903,3897,487.0,5.1,0.6,8.9,23.3,0.1,56.3,5.7,19.1,28.0,12.1,11.8,10.6,10.9,0.4,1.2,0.0,7.8,0.0,5.2,15.4
205,FARMERSVILLE ISD,43904,2115,278.1,4.5,0.3,0.6,42.6,0.1,48.0,3.8,59.1,52.8,14.2,9.8,12.3,14.8,0.7,0.9,0.0,0.4,0.5,5.0,16.0
206,FRISCO ISD,43905,66916,7878.7,10.8,0.7,39.9,12.5,0.1,31.1,5.0,14.2,9.6,10.8,8.8,10.6,11.0,0.1,5.5,0.0,0.0,0.0,13.1,14.8
207,MCKINNEY ISD,43907,23342,2717.5,15.5,0.4,6.3,28.7,0.1,43.5,5.5,35.2,16.4,15.4,14.0,14.3,14.0,1.4,2.3,0.0,5.5,0.1,12.3,14.6
208,MELISSA ISD,43908,5654,659.9,14.6,0.7,8.0,15.8,0.2,54.4,6.3,18.0,22.1,14.8,9.9,9.0,9.0,1.5,3.4,0.1,1.9,0.1,6.1,16.1
209,PLANO ISD,43910,48921,6357.5,13.1,0.4,23.7,28.5,0.1,29.6,4.6,36.8,30.2,13.4,8.3,23.1,23.6,1.0,7.0,0.0,0.0,0.0,16.5,13.8
210,PRINCETON ISD,43911,7837,1000.3,18.4,0.5,3.9,43.5,0.2,29.1,4.4,60.4,46.7,14.5,7.3,19.2,21.1,0.4,1.4,0.0,0.6,0.3,5.5,16.0
211,PROSPER ISD,43912,24983,2656.3,9.6,0.5,22.4,12.6,0.1,47.4,7.4,6.8,26.4,12.2,9.8,10.2,9.8,0.1,1.8,0.0,3.6,0.1,10.0,15.6
212,WYLIE ISD,43914,18850,2303.7,15.8,0.4,14.3,21.9,0.1,43.0,4.6,28.5,16.7,13.5,10.6,16.0,14.6,0.3,2.2,0.0,6.2,0.1,11.3,15.7
213,BLUE RIDGE ISD,43917,1009,136.4,0.6,0.4,0.1,32.6,0.1,61.6,4.6,50.7,99.6,15.2,12.5,9.2,9.2,0.0,1.3,0.0,0.1,0.0,7.4,13.3
214,COMMUNITY ISD,43918,4143,528.9,14.3,0.5,1.5,39.7,0.1,40.4,3.5,53.4,39.3,12.9,8.7,21.9,22.3,0.7,0.3,0.1,0.8,0.2,5.2,15.5
215,LOVEJOY ISD,43919,4254,507.0,3.0,0.5,11.4,9.4,0.1,70.4,5.1,3.9,13.6,9.3,12.6,1.4,1.4,0.1,0.6,0.0,2.8,0.0,18.9,16.1
216,WELLINGTON ISD,44902,530,101.4,4.9,0.0,0.2,42.1,0.0,51.9,0.9,60.6,54.9,14.5,4.9,7.2,7.2,0.2,0.0,1.7,0.2,0.0,2.5,10.3
217,COLUMBUS ISD,45902,1610,233.9,9.9,0.1,0.4,45.0,0.2,42.2,2.2,61.9,45.9,15.5,7.3,15.3,15.7,1.0,1.4,0.0,0.6,0.1,2.9,13.1
218,RICE CISD,45903,1286,201.0,14.7,0.2,0.7,59.3,0.1,22.9,2.1,79.6,100.0,14.5,9.5,9.3,9.3,2.1,1.5,0.0,1.6,0.0,5.3,13.7
219,WEIMAR ISD,45905,704,121.9,9.8,0.4,0.1,43.9,0.0,43.0,2.7,60.4,73.3,14.5,10.4,16.9,16.9,3.7,0.0,0.0,1.4,0.0,4.8,11.4
221,NEW BRAUNFELS ISD,46901,9745,1121.0,1.9,0.2,1.0,48.1,0.2,45.2,3.4,39.9,24.5,13.2,10.6,11.3,9.7,1.4,0.9,0.0,5.7,0.3,8.2,15.8
222,COMAL ISD,46902,28511,3374.1,2.7,0.2,1.6,39.7,0.2,51.3,4.1,31.4,19.3,15.0,9.0,5.8,6.0,0.9,0.3,0.0,13.5,0.2,11.3,15.6
223,COMANCHE ISD,47901,1339,226.6,0.1,0.4,0.5,54.9,0.0,43.3,0.7,63.1,49.1,14.0,5.5,15.4,15.4,2.4,1.2,1.2,2.1,0.6,5.5,12.3
224,DE LEON ISD,47902,720,149.2,0.7,0.1,0.1,39.6,0.0,57.9,1.5,62.5,100.0,13.9,5.8,6.4,6.4,2.4,0.1,1.4,1.1,0.1,7.6,11.1
225,GUSTINE ISD,47903,141,38.0,0.7,0.0,0.7,61.7,0.0,36.9,0.0,75.2,100.0,20.6,2.8,32.6,34.0,0.0,1.4,2.1,0.0,0.0,2.1,7.6
226,SIDNEY ISD,47905,124,25.4,0.0,0.0,0.0,22.6,0.0,77.4,0.0,62.9,100.0,11.3,9.7,0.0,0.0,8.9,0.0,0.0,0.0,0.0,7.3,8.9
227,EDEN CISD,48901,215,44.5,0.0,0.0,0.9,63.7,0.0,34.9,0.5,67.4,99.1,21.9,4.2,7.0,7.0,1.9,0.5,0.0,0.0,0.5,3.3,9.7
228,PAINT ROCK ISD,48903,223,45.5,0.0,0.0,0.9,48.9,0.0,47.1,3.1,80.3,96.9,20.2,6.7,7.6,6.3,3.1,0.0,3.6,6.3,0.0,7.2,9.3
229,GAINESVILLE ISD,49901,3096,387.1,4.7,0.4,1.0,61.6,0.1,26.8,5.5,64.8,72.1,12.4,4.4,29.2,30.6,0.3,1.7,0.0,0.2,0.2,4.8,16.0
230,MUENSTER ISD,49902,563,70.7,0.4,0.4,0.5,5.3,0.0,90.4,3.0,22.7,100.0,16.2,2.0,1.4,1.2,0.2,0.0,0.0,1.2,0.0,2.7,12.6
231,VALLEY VIEW ISD,49903,920,148.8,0.7,0.2,0.4,34.3,0.0,60.9,3.5,53.2,99.5,17.2,7.9,24.9,17.7,1.6,1.0,0.1,0.0,0.4,7.3,11.9
232,CALLISBURG ISD,49905,1166,148.5,0.8,0.4,0.3,15.1,0.0,80.6,2.8,44.5,100.0,17.8,8.5,4.3,4.3,0.2,0.1,0.0,1.1,0.4,4.5,13.4
233,ERA ISD,49906,542,65.3,0.2,0.2,0.2,13.3,0.4,81.7,4.1,35.1,100.0,16.8,3.7,2.6,2.6,0.0,0.0,0.0,3.1,0.0,8.3,13.6
234,LINDSAY ISD,49907,486,68.0,0.0,0.8,1.2,3.5,0.2,93.2,1.0,7.8,1.9,15.2,4.3,0.0,0.2,0.0,0.0,0.0,5.3,0.0,7.8,11.5
235,WALNUT BEND ISD,49908,54,13.4,0.0,0.0,0.0,24.1,0.0,75.9,0.0,90.7,100.0,20.4,5.6,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0
236,SIVELLS BEND ISD,49909,70,14.7,0.0,0.0,0.0,14.3,0.0,82.9,2.9,62.9,100.0,22.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,10.5
237,EVANT ISD,50901,203,43.5,2.5,0.0,0.0,41.9,0.0,51.2,4.4,66.0,100.0,11.3,12.8,14.8,14.8,1.0,0.0,6.9,3.4,0.5,7.4,10.1
238,GATESVILLE ISD,50902,2708,424.9,2.5,0.3,0.7,23.8,0.0,68.4,4.3,54.7,55.2,15.9,15.3,5.1,5.1,0.8,0.4,0.0,14.8,0.7,8.5,14.3
239,OGLESBY ISD,50904,197,35.8,1.0,0.5,0.0,24.4,0.0,70.1,4.1,64.0,100.0,13.2,9.1,5.6,6.1,3.6,0.0,0.0,8.6,0.0,1.5,8.9
240,JONESBORO ISD,50909,329,50.8,0.9,0.0,0.0,7.9,0.0,88.4,2.7,62.9,99.7,10.9,5.8,0.0,0.0,0.3,0.0,0.0,0.6,0.0,0.6,12.4
241,COPPERAS COVE ISD,50910,8043,1372.9,18.4,0.5,1.4,30.1,2.8,35.8,11.1,61.0,47.3,16.9,14.2,6.3,6.4,1.3,0.2,0.0,46.7,0.4,5.6,13.2
242,PADUCAH ISD,51901,158,33.9,11.4,0.6,0.0,43.7,0.0,42.4,1.9,70.9,100.0,20.3,14.6,0.0,0.0,0.0,0.0,0.0,5.7,0.6,7.6,8.8
243,CRANE ISD,52901,1179,169.0,1.2,0.2,0.5,84.2,0.0,13.6,0.3,62.7,71.9,7.9,4.8,24.6,26.0,0.0,1.4,0.0,0.4,0.0,7.0,14.8
244,CROCKETT COUNTY CONSOLIDATED CSD,53001,706,145.3,0.6,0.1,0.7,75.1,0.0,23.2,0.3,61.8,100.0,11.3,11.9,15.2,15.0,1.6,0.3,0.0,3.1,0.1,6.8,10.0
245,CROSBYTON CISD,54901,305,62.0,2.3,0.0,0.7,75.7,0.0,20.3,1.0,83.3,100.0,16.4,9.8,1.3,1.0,0.7,0.0,3.9,0.0,0.7,3.3,9.5
246,LORENZO ISD,54902,239,70.1,7.1,0.0,0.0,80.3,0.0,11.7,0.8,79.9,100.0,14.6,7.9,9.2,9.2,0.4,0.0,5.9,0.4,0.0,1.3,9.3
247,RALLS ISD,54903,453,88.3,0.9,0.0,0.0,74.8,0.0,23.6,0.7,81.5,100.0,12.1,9.5,2.6,2.6,0.0,0.0,4.6,0.0,0.0,1.3,9.2
248,CULBERSON COUNTY-ALLAMOORE ISD,55901,366,70.0,0.5,1.1,1.4,82.0,0.3,13.4,1.4,81.7,100.0,11.2,1.1,5.2,5.5,3.6,0.3,0.0,0.0,0.0,5.2,12.3
249,DALHART ISD,56901,1770,208.2,0.7,0.3,0.2,69.0,0.0,28.8,0.8,64.4,100.0,10.1,4.2,32.8,32.8,1.1,0.2,10.8,0.8,0.7,3.8,15.3
250,TEXLINE ISD,56902,220,35.8,0.0,0.5,0.0,46.4,0.0,51.4,1.8,63.6,100.0,10.0,5.9,22.7,22.7,1.4,0.0,0.5,0.0,0.0,5.9,9.3
283,CARROLLTON-FARMERS BRANCH ISD,57903,24747,3650.9,17.5,0.4,11.6,56.5,0.1,10.5,3.4,66.4,92.1,15.5,4.1,39.2,38.7,0.8,7.3,0.0,0.0,0.0,11.3,13.4
284,CEDAR HILL ISD,57904,6920,839.5,64.7,0.4,0.9,27.0,0.1,2.8,4.2,70.7,91.5,8.2,4.6,8.6,8.5,0.3,0.5,0.0,4.0,0.7,6.0,15.8
285,DALLAS ISD,57905,141169,21002.0,20.6,0.4,1.2,70.2,0.1,6.1,1.3,84.9,96.7,11.1,5.1,47.0,48.8,1.9,6.4,0.0,0.4,0.2,18.8,14.2
286,DESOTO ISD,57906,6322,795.5,71.3,0.3,0.3,23.5,0.0,1.7,2.9,65.7,99.5,10.3,3.7,10.8,11.1,0.4,0.5,0.0,0.1,1.1,4.8,15.6
287,DUNCANVILLE ISD,57907,11915,1646.7,39.8,0.2,0.9,54.7,0.0,2.2,2.1,82.2,61.8,10.4,3.6,22.9,24.3,0.7,1.0,0.0,1.3,0.6,5.1,15.8
288,GARLAND ISD,57909,52767,7173.2,18.4,1.4,9.6,52.5,0.1,14.8,3.1,71.5,94.3,11.4,7.8,37.5,38.9,1.2,2.9,0.0,1.1,0.1,8.2,15.2
289,GRAND PRAIRIE ISD,57910,27019,3786.3,17.3,0.4,3.2,68.7,0.1,7.9,2.4,75.4,68.9,9.9,6.9,36.6,36.4,2.7,1.7,0.0,0.3,0.2,6.7,14.6
290,HIGHLAND PARK ISD,57911,6551,859.6,0.7,0.4,7.2,6.6,0.1,81.5,3.4,0.4,0.0,12.2,16.1,1.0,1.1,0.0,0.0,0.0,0.0,0.0,16.4,14.2
291,IRVING ISD,57912,31767,4267.9,12.4,2.0,3.2,73.3,0.2,7.7,1.2,86.9,67.7,9.4,6.9,54.2,52.3,1.9,8.5,0.0,0.0,0.1,14.2,14.8
292,LANCASTER ISD,57913,7032,916.7,73.0,0.5,0.2,22.7,0.1,1.1,2.3,86.6,100.0,9.2,3.5,10.6,10.7,4.5,0.3,0.0,4.6,0.7,8.3,15.9
293,MESQUITE ISD,57914,38356,5430.2,25.1,0.6,1.2,61.8,0.1,9.0,2.3,83.1,100.0,14.6,9.7,31.9,33.6,2.0,1.2,0.0,3.3,0.3,7.2,14.7
294,RICHARDSON ISD,57916,37260,5616.2,21.8,0.3,7.2,37.6,0.1,30.0,3.1,57.0,53.9,14.2,10.5,30.1,30.3,1.9,9.4,0.0,1.3,0.5,10.6,12.8
295,SUNNYVALE ISD,57919,2205,289.0,9.7,0.3,23.8,17.1,0.1,44.8,4.3,19.3,100.0,14.1,9.0,7.4,9.3,0.7,1.0,0.0,5.6,0.2,11.4,14.6
296,COPPELL ISD,57922,13361,1486.9,4.2,0.2,55.6,13.2,0.1,23.3,3.4,9.9,30.9,9.9,6.5,18.7,17.8,0.3,6.8,0.0,2.7,0.1,13.4,14.9
297,DAWSON ISD,58902,139,21.9,0.7,0.0,0.0,69.1,0.0,26.6,3.6,74.1,100.0,10.1,5.8,15.1,15.1,0.0,2.9,1.4,2.2,0.0,5.0,10.2
298,KLONDIKE ISD,58905,254,47.9,0.0,0.0,0.0,39.4,0.0,59.1,1.6,28.3,100.0,11.4,5.1,6.3,6.3,0.0,1.2,0.0,5.9,0.4,3.9,10.9
299,LAMESA ISD,58906,1588,301.7,3.3,0.2,0.6,84.4,0.0,10.9,0.6,79.7,100.0,14.2,10.1,5.4,5.5,1.6,0.0,0.0,1.2,0.3,7.1,15.0
300,SANDS CISD,58909,240,41.4,0.0,1.3,0.4,43.8,0.0,52.9,1.7,59.2,100.0,12.9,10.0,12.1,12.1,0.0,0.4,0.8,0.4,0.0,9.6,11.3
301,HEREFORD ISD,59901,3952,586.5,0.6,0.2,0.2,91.3,0.0,7.4,0.4,84.6,100.0,12.4,4.2,25.2,26.4,1.0,2.0,5.5,2.5,0.3,2.6,14.7
302,WALCOTT ISD,59902,148,22.6,0.0,0.0,0.0,83.1,0.0,16.2,0.7,57.4,100.0,16.2,1.4,8.1,9.5,7.4,0.0,0.0,0.0,0.0,2.0,16.7
303,COOPER ISD,60902,888,136.0,7.7,1.1,0.3,17.1,0.0,68.7,5.1,66.2,100.0,14.3,11.3,4.3,4.2,0.9,0.1,0.2,2.8,0.3,9.8,12.5
304,FANNINDEL ISD,60914,147,45.2,40.8,1.4,0.7,10.9,0.0,38.1,8.2,90.5,100.0,23.1,14.3,9.5,9.5,1.4,0.0,0.0,0.0,0.0,3.4,7.4
308,DENTON ISD,61901,32521,4404.1,20.9,0.4,3.8,34.3,0.2,36.0,4.4,48.7,33.9,13.8,10.8,18.6,17.6,0.9,1.3,0.0,2.1,0.3,9.5,13.4
309,LEWISVILLE ISD,61902,49060,6361.6,12.0,0.4,16.2,31.1,0.1,35.4,4.7,37.3,39.2,17.9,7.4,21.8,21.1,1.4,2.8,0.0,1.6,0.1,11.4,13.3
310,PILOT POINT ISD,61903,1483,207.8,1.9,0.4,0.3,50.4,0.1,43.3,3.6,51.6,47.3,14.0,9.0,30.5,30.8,1.3,0.4,0.0,4.4,0.3,6.7,13.8
311,KRUM ISD,61905,2298,341.3,2.6,0.5,0.8,33.8,0.3,58.5,3.6,38.8,28.2,16.7,10.7,15.4,15.7,0.5,1.1,0.1,2.3,0.3,6.4,13.4
312,PONDER ISD,61906,1640,220.6,1.5,0.5,0.3,35.2,0.0,58.6,3.8,40.7,45.9,13.5,9.8,14.6,14.6,0.9,0.2,0.0,6.3,0.2,10.2,14.5
313,AUBREY ISD,61907,3538,381.9,15.7,0.4,1.8,25.0,0.2,51.2,5.6,34.3,50.9,13.7,11.3,8.2,8.4,0.9,0.6,0.0,6.9,0.4,5.0,15.9
314,SANGER ISD,61908,2801,414.8,3.3,0.4,0.5,32.4,0.1,58.7,4.6,46.2,100.0,15.9,9.4,10.4,10.5,2.1,0.3,0.0,7.0,0.0,5.1,14.9
315,ARGYLE ISD,61910,4966,617.8,2.8,0.7,9.5,14.8,0.2,67.5,4.6,7.3,1.9,10.3,11.1,5.7,5.8,0.0,1.1,0.0,7.7,0.1,9.0,14.4
316,NORTHWEST ISD,61911,29248,3132.6,11.8,0.5,6.6,24.5,0.2,52.8,3.5,26.8,9.9,14.1,10.6,9.1,9.5,0.3,1.1,0.0,8.0,0.2,10.6,15.6
317,LAKE DALLAS ISD,61912,3900,566.6,9.7,0.8,3.1,34.7,0.1,46.4,5.2,42.9,66.8,12.9,17.1,12.6,12.8,0.3,1.6,0.0,0.6,0.3,7.1,13.5
318,LITTLE ELM ISD,61914,8351,983.1,18.9,0.3,5.1,37.8,0.2,32.0,5.7,48.3,64.3,11.5,8.3,24.8,21.2,0.6,1.3,0.0,0.9,0.2,7.6,15.9
