,DISTNAME,DISTRICT_id,District 2022-23 Total Students Count,District 2023 Staff: All Staff Total Full Time Equiv Count,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Title I Students percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,District 2022-23 Gifted & Talented Education Students Percent,District 2023 Staff: Teacher Student Ratio
28,MULESHOE ISD,9901,1347,226.9,0.4,0.1,0.4,87.2,0.1,11.7,0.1,89.5,100.0,14.4,3.3,33.6,33.7,0.0,6.2,7.0,0.5,0.9,2.7,11.8
29,MEDINA ISD,10901,246,73.3,3.7,0.0,0.0,29.7,0.0,63.0,3.7,65.4,100.0,15.0,9.3,1.2,1.2,28.0,0.4,0.0,2.8,0.0,6.5,6.9
30,BANDERA ISD,10902,2381,316.2,0.5,0.2,0.4,33.9,0.0,62.2,2.7,56.3,46.7,17.1,8.9,5.4,5.5,1.6,0.4,0.0,7.7,0.5,5.5,15.6
31,BASTROP ISD,11901,12506,1424.9,2.8,0.2,0.4,74.1,0.1,19.8,2.7,76.6,68.0,13.1,10.3,40.3,41.0,3.9,2.1,0.3,0.6,0.3,7.2,15.9
32,ELGIN ISD,11902,5404,767.9,9.2,0.1,0.3,75.9,0.2,11.6,2.7,80.2,53.2,13.3,7.7,46.9,44.8,3.1,1.2,1.1,0.1,0.2,8.4,17.6
33,SMITHVILLE ISD,11904,1885,265.2,5.8,0.1,0.6,35.2,0.1,53.8,4.4,54.6,100.0,14.7,9.2,8.9,9.6,0.3,0.0,0.2,7.1,0.1,6.8,14.6
34,MCDADE ISD,11905,356,67.3,0.3,0.0,0.0,56.5,0.6,40.2,2.5,51.7,100.0,16.6,9.8,23.0,23.6,7.0,0.3,0.8,0.8,0.8,5.1,11.3
35,SEYMOUR ISD,12901,644,108.1,2.0,0.3,0.2,23.8,0.0,65.8,7.9,61.5,100.0,19.9,15.2,1.4,1.4,0.9,0.2,0.8,0.5,0.2,3.0,11.7
37,BEEVILLE ISD,13901,3097,464.6,2.0,0.1,0.2,85.2,0.0,11.5,1.0,81.4,100.0,14.8,4.7,2.5,2.5,0.2,0.0,0.1,0.9,0.1,5.0,16.7
38,PAWNEE ISD,13902,465,134.4,19.4,0.0,0.0,63.0,0.9,14.8,1.9,89.0,100.0,5.8,1.3,0.4,0.6,11.0,0.0,0.0,0.4,0.6,0.9,19.9
39,PETTUS ISD,13903,401,74.7,1.7,0.2,0.0,62.1,0.0,35.7,0.2,69.6,100.0,13.0,7.7,1.0,1.0,1.0,0.2,0.5,4.0,0.0,4.0,11.7
40,SKIDMORE-TYNAN ISD,13905,752,134.0,0.5,0.1,0.8,72.1,0.1,25.5,0.8,67.2,100.0,10.8,8.8,2.1,2.3,1.1,0.0,0.0,5.7,0.1,9.6,10.9
